Occupants/people/parties for the Year 2009 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"2009103469","Intersection Crash - Within Intersection","May","Angle","24","2009","10:00 AM - 10:59 AM","-83.731323413649","41.96962883495","Monroe","Monroe County: Dundee Twp.","2009171069","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1993","2009262790","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","75"
"2009103471","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","May","Single Motor Vehicle","23","2009","12:00 Midnight - 12:59 AM","-85.434901584293","44.234063714537","Wexford","Wexford County: Cadillac","2009171072","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1995","2009262794","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","21"
"2009103496","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","25","2009","9:00 PM - 9:59 PM","-86.33537871666","41.908563004056","Berrien","Berrien County: Berrien Twp.","2009171118","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2000","2009262866","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","22"
"2009103496","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","25","2009","9:00 PM - 9:59 PM","-86.33537871666","41.908563004056","Berrien","Berrien County: Berrien Twp.","2009171118","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2000","2009262867","Female","Suspected Serious Injury (A)","Injured Passenger","24"
"2009103496","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","25","2009","9:00 PM - 9:59 PM","-86.33537871666","41.908563004056","Berrien","Berrien County: Berrien Twp.","2009171118","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2000","2009262868","Female","Suspected Serious Injury (A)","Injured Passenger","24"
"2009103496","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","25","2009","9:00 PM - 9:59 PM","-86.33537871666","41.908563004056","Berrien","Berrien County: Berrien Twp.","2009171118","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2000","2009262869","Male","No Injury (O)","Uninjured Passenger","24"
"2009103496","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","25","2009","9:00 PM - 9:59 PM","-86.33537871666","41.908563004056","Berrien","Berrien County: Berrien Twp.","2009171118","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2000","2009262870","Male","No Injury (O)","Uninjured Passenger","28"
"2009103502","Intersection Crash - Within Intersection","May","Head-On - Left Turn","27","2009","6:00 PM - 6:59 PM","-86.528635153168","42.014431855314","Berrien","Berrien County: Stevensville","2009171127","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","2002","2009262881","Female","Suspected Minor Injury (B)","Motor Vehicle Driver","26"
"2009103502","Intersection Crash - Within Intersection","May","Head-On - Left Turn","27","2009","6:00 PM - 6:59 PM","-86.528635153168","42.014431855314","Berrien","Berrien County: Stevensville","2009171128","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1998","2009262884","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","40"
"2009103561","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","May","Single Motor Vehicle","13","2009","12:00 Midnight - 12:59 AM","-84.963653522097","42.272198930821","Calhoun","Calhoun County: Marshall","2009171239","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2007","2009263067","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","14"
"2009103633","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","May","Rear-End - Left Turn","21","2009","12:00 Noon - 12:59 PM","-83.436483885283","41.886848298459","Monroe","Monroe County: Monroe Twp.","2009171376","Driver/Cyclist Action - Going Straight Ahead","Motor Home","Motor Vehicle","2004","2009263309","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","40"
"2009103633","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","May","Rear-End - Left Turn","21","2009","12:00 Noon - 12:59 PM","-83.436483885283","41.886848298459","Monroe","Monroe County: Monroe Twp.","2009171377","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2006","2009263310","Male","No Injury (O)","Motor Vehicle Driver","42"
"2009103633","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","May","Rear-End - Left Turn","21","2009","12:00 Noon - 12:59 PM","-83.436483885283","41.886848298459","Monroe","Monroe County: Monroe Twp.","2009171378","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2008","2009263311","Female","Suspected Minor Injury (B)","Motor Vehicle Driver","40"
"2009103633","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","May","Rear-End - Left Turn","21","2009","12:00 Noon - 12:59 PM","-83.436483885283","41.886848298459","Monroe","Monroe County: Monroe Twp.","2009171378","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2008","2009263312","Uncoded & Errors","No Injury (O)","Uninjured Passenger","Invalid Number"
"2009103644","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","21","2009","2:00 PM - 2:59 PM","-83.174515933043","42.384155935904","Wayne","Wayne County: Detroit","2009171395","Driver/Cyclist Action - Avoiding Vehicle (angle)","Passenger Car, SUV, Van","Motor Vehicle","2008","2009263334","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","39"
"2009103654","Intersection Crash - Within Intersection","April","Head-On - Left Turn","26","2009","6:00 PM - 6:59 PM","-83.491659506117","41.80337187997","Monroe","Monroe County: Erie Twp.","2009171410","Driver/Cyclist Action - Starting Up on Roadway","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2009263355","Female","Suspected Minor Injury (B)","Motor Vehicle Driver","24"
"2009103654","Intersection Crash - Within Intersection","April","Head-On - Left Turn","26","2009","6:00 PM - 6:59 PM","-83.491659506117","41.80337187997","Monroe","Monroe County: Erie Twp.","2009171410","Driver/Cyclist Action - Starting Up on Roadway","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2009263356","Male","Suspected Minor Injury (B)","Injured Passenger","22"
"2009103654","Intersection Crash - Within Intersection","April","Head-On - Left Turn","26","2009","6:00 PM - 6:59 PM","-83.491659506117","41.80337187997","Monroe","Monroe County: Erie Twp.","2009171410","Driver/Cyclist Action - Starting Up on Roadway","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2009263357","Female","Suspected Minor Injury (B)","Injured Passenger","21"
"2009103654","Intersection Crash - Within Intersection","April","Head-On - Left Turn","26","2009","6:00 PM - 6:59 PM","-83.491659506117","41.80337187997","Monroe","Monroe County: Erie Twp.","2009171410","Driver/Cyclist Action - Starting Up on Roadway","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2009263358","Uncoded & Errors","Uncoded & Errors","Uninjured Passenger","Invalid Number"
"2009103654","Intersection Crash - Within Intersection","April","Head-On - Left Turn","26","2009","6:00 PM - 6:59 PM","-83.491659506117","41.80337187997","Monroe","Monroe County: Erie Twp.","2009171410","Driver/Cyclist Action - Starting Up on Roadway","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2009263360","Female","Possible Injury (C)","Injured Passenger","20"
