Occupants/people/parties for the Year 2014 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"2014249672","Intersection Crash - Within Intersection","October","Angle","25","2014","7:00 PM - 7:59 PM","-83.1134848792176","42.4906393815251","Oakland","Oakland County: Madison Heights","2014433318","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","1998","2014667172","Male","No Injury (O)","Uninjured Passenger","22"
"2014249672","Intersection Crash - Within Intersection","October","Angle","25","2014","7:00 PM - 7:59 PM","-83.1134848792176","42.4906393815251","Oakland","Oakland County: Madison Heights","2014433319","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2001","2014667174","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","41"
"2014249672","Intersection Crash - Within Intersection","October","Angle","25","2014","7:00 PM - 7:59 PM","-83.1134848792176","42.4906393815251","Oakland","Oakland County: Madison Heights","2014433319","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2001","2014667175","Female","Suspected Serious Injury (A)","Injured Passenger","38"
"2014249769","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","October","Single Motor Vehicle","9","2014","6:00 AM - 6:59 AM","-83.5653182950457","42.6825396240378","Oakland","Oakland County: White Lake Twp.","2014433506","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2004","2014667418","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","30"
"2014249781","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","October","Single Motor Vehicle","27","2014","3:00 PM - 3:59 PM","-83.9109517525536","42.3603285108756","Washtenaw","Washtenaw County: Dexter Twp.","2014433526","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2009","2014667454","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","44"
"2014249781","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","October","Single Motor Vehicle","27","2014","3:00 PM - 3:59 PM","-83.9109517525536","42.3603285108756","Washtenaw","Washtenaw County: Dexter Twp.","2014433526","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2009","2014667456","Male","Possible Injury (C)","Injured Passenger","12"
"2014249795","Freeway Crash - All Other Freeway Areas","October","Single Motor Vehicle","21","2014","4:00 AM - 4:59 AM","-83.5682468824477","42.2424797983596","Washtenaw","Washtenaw County: Ypsilanti Twp.","2014433547","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2007","2014667487","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","30"
"2014249795","Freeway Crash - All Other Freeway Areas","October","Single Motor Vehicle","21","2014","4:00 AM - 4:59 AM","-83.5682468824477","42.2424797983596","Washtenaw","Washtenaw County: Ypsilanti Twp.","2014433547","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2007","2014667488","Male","Possible Injury (C)","Injured Passenger","28"
"2014249868","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","October","Rear-End","26","2014","7:00 PM - 7:59 PM","-83.0544505012396","42.4017815922074","Wayne","Wayne County: Hamtramck","2014433684","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2008","2014667698","Male","Suspected Minor Injury (B)","Motor Vehicle Driver","35"
"2014249868","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","October","Rear-End","26","2014","7:00 PM - 7:59 PM","-83.0544505012396","42.4017815922074","Wayne","Wayne County: Hamtramck","2014433684","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2008","2014667699","Female","Suspected Serious Injury (A)","Injured Passenger","19"
"2014249868","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","October","Rear-End","26","2014","7:00 PM - 7:59 PM","-83.0544505012396","42.4017815922074","Wayne","Wayne County: Hamtramck","2014433685","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2013","2014667700","Male","No Injury (O)","Motor Vehicle Driver","81"
"2014249868","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","October","Rear-End","26","2014","7:00 PM - 7:59 PM","-83.0544505012396","42.4017815922074","Wayne","Wayne County: Hamtramck","2014433685","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2013","2014667701","Female","No Injury (O)","Uninjured Passenger","80"
"2014250257","Intersection Crash - Within Intersection","November","Angle","3","2014","8:00 AM - 8:59 AM","-83.4978718259462","43.0179483344221","Genesee","Genesee County: Davison Twp.","2014434263","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2014668491","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","66"
"2014250257","Intersection Crash - Within Intersection","November","Angle","3","2014","8:00 AM - 8:59 AM","-83.4978718259462","43.0179483344221","Genesee","Genesee County: Davison Twp.","2014434263","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2014668492","Male","Possible Injury (C)","Injured Passenger","5"
"2014250257","Intersection Crash - Within Intersection","November","Angle","3","2014","8:00 AM - 8:59 AM","-83.4978718259462","43.0179483344221","Genesee","Genesee County: Davison Twp.","2014434263","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2014668493","Male","Suspected Minor Injury (B)","Injured Passenger","Invalid Number"
"2014250257","Intersection Crash - Within Intersection","November","Angle","3","2014","8:00 AM - 8:59 AM","-83.4978718259462","43.0179483344221","Genesee","Genesee County: Davison Twp.","2014434264","Driver/Cyclist Action - Going Straight Ahead","Truck/Bus (over 10,000 lbs. GVWR/8+ occupants/hazmat placard) ","Motor Vehicle","2006","2014668496","Male","No Injury (O)","Motor Vehicle Driver","57"
"2014250257","Intersection Crash - Within Intersection","November","Angle","3","2014","8:00 AM - 8:59 AM","-83.4978718259462","43.0179483344221","Genesee","Genesee County: Davison Twp.","2014434264","Driver/Cyclist Action - Going Straight Ahead","Truck/Bus (over 10,000 lbs. GVWR/8+ occupants/hazmat placard) ","Motor Vehicle","2006","2014668497","Female","No Injury (O)","Uninjured Passenger","28"
"2014250257","Intersection Crash - Within Intersection","November","Angle","3","2014","8:00 AM - 8:59 AM","-83.4978718259462","43.0179483344221","Genesee","Genesee County: Davison Twp.","2014434264","Driver/Cyclist Action - Going Straight Ahead","Truck/Bus (over 10,000 lbs. GVWR/8+ occupants/hazmat placard) ","Motor Vehicle","2006","2014668498","Female","No Injury (O)","Uninjured Passenger","4"
