Occupants/people/parties for the Year 2004 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"200493655","Intersection Crash - Within Intersection","March","Angle","26","2004","9:00 PM - 9:59 PM","0","0","Oakland","Oakland County: Waterford Twp.","2004158330","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2001","2004193100","Male","No Injury (O)","Motor Vehicle Driver","33"
"200493674","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","April","Head-On","23","2004","9:00 PM - 9:59 PM","-85.00574","41.84982","Branch","Branch County: Ovid Twp.","2004158362","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1998","2004193156","Male","No Injury (O)","Motor Vehicle Driver","54"
"200493674","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","April","Head-On","23","2004","9:00 PM - 9:59 PM","-85.00574","41.84982","Branch","Branch County: Ovid Twp.","2004158363","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","1999","2004193158","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","44"
"200493674","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","April","Head-On","23","2004","9:00 PM - 9:59 PM","-85.00574","41.84982","Branch","Branch County: Ovid Twp.","2004158363","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","1999","2004193159","Male","Possible Injury (C)","Injured Passenger","19"
"200493684","Freeway Crash - All Other Freeway Areas","April","Single Motor Vehicle","17","2004","7:00 AM - 7:59 AM","-83.2983","43.02148","Lapeer","Lapeer County: Lapeer Twp.","2004158378","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2003","2004193184","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","21"
"200493684","Freeway Crash - All Other Freeway Areas","April","Single Motor Vehicle","17","2004","7:00 AM - 7:59 AM","-83.2983","43.02148","Lapeer","Lapeer County: Lapeer Twp.","2004158378","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2003","2004193185","Male","Suspected Serious Injury (A)","Injured Passenger","21"
"200493696","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Single Motor Vehicle","25","2004","12:00 Midnight - 12:59 AM","-85.08404","41.95075","Branch","Branch County: Batavia Twp.","2004158395","Driver/Cyclist Action - Going Straight Ahead","Small Truck Under 10,000 lbs. GVWR","Motor Vehicle","2000","2004193208","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","58"
"200493708","Intersection Crash - Within Intersection","March","Angle","16","2004","8:00 AM - 8:59 AM","-84.50881","42.05032","Hillsdale","Hillsdale County: Moscow Twp.","2004158409","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2001","2004193228","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","37"
"200493708","Intersection Crash - Within Intersection","March","Angle","16","2004","8:00 AM - 8:59 AM","-84.50881","42.05032","Hillsdale","Hillsdale County: Moscow Twp.","2004158410","Driver/Cyclist Action - Slowing/Stopping on Roadway","Pickup Truck","Motor Vehicle","1993","2004193230","Male","Uncoded & Errors","Motor Vehicle Driver","64"
"200493784","Intersection Crash - Within Intersection","April","Angle","10","2004","8:00 AM - 8:59 AM","-84.47171","42.69726","Ingham","Ingham County: Meridian Twp.","2004158518","Driver/Cyclist Action - Going Straight Ahead","Off-Road Vehicle (ORV)/All-Terrain Vehicle (ATV)","Motor Vehicle","Invalid Number","2004193395","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","21"
"200493784","Intersection Crash - Within Intersection","April","Angle","10","2004","8:00 AM - 8:59 AM","-84.47171","42.69726","Ingham","Ingham County: Meridian Twp.","2004158519","Driver/Cyclist Action - Slowing/Stopping on Roadway","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2004193398","Male","No Injury (O)","Motor Vehicle Driver","47"
"200493784","Intersection Crash - Within Intersection","April","Angle","10","2004","8:00 AM - 8:59 AM","-84.47171","42.69726","Ingham","Ingham County: Meridian Twp.","2004158519","Driver/Cyclist Action - Slowing/Stopping on Roadway","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2004193399","Male","No Injury (O)","Uninjured Passenger","Invalid Number"
"200493795","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Sideswipe - Opposite Directions","15","2004","2:00 PM - 2:59 PM","-84.90081","43.79913","Isabella","Isabella County: Gilmore Twp.","2004158535","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2002","2004193428","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","35"
"200493795","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Sideswipe - Opposite Directions","15","2004","2:00 PM - 2:59 PM","-84.90081","43.79913","Isabella","Isabella County: Gilmore Twp.","2004158535","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2002","2004193429","Female","Possible Injury (C)","Injured Passenger","30"
"200493795","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Sideswipe - Opposite Directions","15","2004","2:00 PM - 2:59 PM","-84.90081","43.79913","Isabella","Isabella County: Gilmore Twp.","2004158535","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2002","2004193430","Male","Possible Injury (C)","Injured Passenger","14"
"200493795","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Sideswipe - Opposite Directions","15","2004","2:00 PM - 2:59 PM","-84.90081","43.79913","Isabella","Isabella County: Gilmore Twp.","2004158536","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2001","2004193431","Male","No Injury (O)","Motor Vehicle Driver","30"
"200493892","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","28","2004","9:00 PM - 9:59 PM","-83.24409","42.08119","Wayne","Wayne County: Brownstown Twp.","2004158705","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1995","2004193683","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","27"
"200493892","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","28","2004","9:00 PM - 9:59 PM","-83.24409","42.08119","Wayne","Wayne County: Brownstown Twp.","2004158705","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1995","2004193684","Female","Suspected Serious Injury (A)","Injured Passenger","28"
"200494163","Freeway Crash - All Other Freeway Areas","April","Single Motor Vehicle","13","2004","1:00 PM - 1:59 PM","-84.995222","42.131189","Calhoun","Calhoun County: Tekonsha Twp.","2004159174","Driver/Cyclist Action - Avoiding Vehicle (front/back)","Passenger Car, SUV, Van","Motor Vehicle","1998","2004194366","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","58"
"200494267","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Rear-End","25","2004","2:00 PM - 2:59 PM","-83.38212","42.26672","Wayne","Wayne County: Romulus","2004159336","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2004194623","Male","No Injury (O)","Motor Vehicle Driver","18"
"200494267","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Rear-End","25","2004","2:00 PM - 2:59 PM","-83.38212","42.26672","Wayne","Wayne County: Romulus","2004159336","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2004194624","Female","Suspected Serious Injury (A)","Injured Passenger","12"
"200494267","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Rear-End","25","2004","2:00 PM - 2:59 PM","-83.38212","42.26672","Wayne","Wayne County: Romulus","2004159337","Driver/Cyclist Action - Slowing/Stopping on Roadway","Passenger Car, SUV, Van","Motor Vehicle","1998","2004194625","Male","No Injury (O)","Motor Vehicle Driver","51"
"200494290","Intersection Crash - Within Intersection","April","Head-On - Left Turn","25","2004","3:00 PM - 3:59 PM","-83.41822","42.32377","Wayne","Wayne County: Westland","2004159382","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2004194715","Female","Possible Injury (C)","Motor Vehicle Driver","17"
"200494290","Intersection Crash - Within Intersection","April","Head-On - Left Turn","25","2004","3:00 PM - 3:59 PM","-83.41822","42.32377","Wayne","Wayne County: Westland","2004159382","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2004194716","Male","Possible Injury (C)","Injured Passenger","16"
"200494290","Intersection Crash - Within Intersection","April","Head-On - Left Turn","25","2004","3:00 PM - 3:59 PM","-83.41822","42.32377","Wayne","Wayne County: Westland","2004159383","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2001","2004194718","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","41"
"200494309","Intersection Crash - Within Intersection","April","Head-On - Left Turn","24","2004","7:00 PM - 7:59 PM","-83.34953","42.31078","Wayne","Wayne County: Westland","2004159417","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","1998","2004194790","Male","No Injury (O)","Motor Vehicle Driver","18"
"200494309","Intersection Crash - Within Intersection","April","Head-On - Left Turn","24","2004","7:00 PM - 7:59 PM","-83.34953","42.31078","Wayne","Wayne County: Westland","2004159418","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1995","2004194792","Male","No Injury (O)","Motor Vehicle Driver","28"
