Occupants/people/parties for the Year 2004 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"20043854","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","24","2004","1:00 PM - 1:59 PM","-85.06278","42.34084","Calhoun","Calhoun County: Convis Twp.","20045686","Driver/Cyclist Action - Going Straight Ahead","Small Truck Under 10,000 lbs. GVWR","Motor Vehicle","2002","20046158","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","27"
"20043857","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","January","Single Motor Vehicle","24","2004","11:00 AM - 11:59 AM","-85.32865","42.33363","Kalamazoo","Kalamazoo County: Ross Twp.","20045689","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","1988","20046161","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","40"
"20043879","Freeway Crash - All Other Freeway Areas","January","Single Motor Vehicle","23","2004","9:00 AM - 9:59 AM","-84.99512","42.30819","Calhoun","Calhoun County: Marshall Twp.","20045716","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2000","20046190","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","18"
"20043904","Freeway Crash - Entrance/Exit Ramp Related","January","Other/Unknown","23","2004","2:00 PM - 2:59 PM","-84.99108","42.2727","Calhoun","Calhoun County: Marshall Twp.","20045742","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1995","20046217","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","21"
"20043904","Freeway Crash - Entrance/Exit Ramp Related","January","Other/Unknown","23","2004","2:00 PM - 2:59 PM","-84.99108","42.2727","Calhoun","Calhoun County: Marshall Twp.","20045743","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","Invalid Number","20046218","Male","Suspected Minor Injury (B)","Motor Vehicle Driver","44"
"20044030","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","January","Head-On","12","2004","1:00 PM - 1:59 PM","-85.39548","44.5304","Grand Traverse","Grand Traverse County: Fife Lake Twp.","20045919","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1991","20046402","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","33"
"20044030","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","January","Head-On","12","2004","1:00 PM - 1:59 PM","-85.39548","44.5304","Grand Traverse","Grand Traverse County: Fife Lake Twp.","20045920","Driver/Cyclist Action - Going Straight Ahead","Truck/Bus (over 10,000 lbs. GVWR/8+ occupants/hazmat placard) ","Motor Vehicle","2000","20046403","Male","No Injury (O)","Motor Vehicle Driver","30"
"20044135","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","10","2004","4:00 PM - 4:59 PM","-85.92131","41.77045","Cass","Cass County: Mason Twp.","20046082","Driver/Cyclist Action - Going Straight Ahead","Motor Home","Motor Vehicle","1994","20046576","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","53"
"20044343","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Head-On","12","2004","5:00 AM - 5:59 AM","-85.05497","44.90741","Antrim","Antrim County: Mancelona","20046357","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2000","20046891","Male","Suspected Minor Injury (B)","Motor Vehicle Driver","44"
"20044343","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Head-On","12","2004","5:00 AM - 5:59 AM","-85.05497","44.90741","Antrim","Antrim County: Mancelona","20046358","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","Invalid Number","20046892","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","41"
"20044406","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Head-On","10","2004","8:00 AM - 8:59 AM","-85.82997","44.51295","Benzie","Benzie County: Colfax Twp.","20046439","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2002","20046978","Male","Suspected Minor Injury (B)","Motor Vehicle Driver","57"
"20044406","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Head-On","10","2004","8:00 AM - 8:59 AM","-85.82997","44.51295","Benzie","Benzie County: Colfax Twp.","20046440","Driver/Cyclist Action - Avoiding Vehicle (front/back)","Small Truck Under 10,000 lbs. GVWR","Motor Vehicle","2000","20046979","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","38"
"20044406","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Head-On","10","2004","8:00 AM - 8:59 AM","-85.82997","44.51295","Benzie","Benzie County: Colfax Twp.","20046440","Driver/Cyclist Action - Avoiding Vehicle (front/back)","Small Truck Under 10,000 lbs. GVWR","Motor Vehicle","2000","20046980","Female","Suspected Serious Injury (A)","Injured Passenger","8"
"20044584","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","January","Head-On","5","2004","4:00 PM - 4:59 PM","-83.36132","43.04337","Lapeer","Lapeer County: Elba Twp.","20046694","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","20047259","Female","Suspected Minor Injury (B)","Motor Vehicle Driver","51"
