Occupants/people/parties for the Year 2020 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"202059754","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Single Motor Vehicle","19","2020","10:00 PM - 10:59 PM","-83.7397747994022","41.7545642202798","Monroe","Monroe County: Whiteford Twp.","202099243","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2009","2020163655","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","20"
"202059754","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Single Motor Vehicle","19","2020","10:00 PM - 10:59 PM","-83.7397747994022","41.7545642202798","Monroe","Monroe County: Whiteford Twp.","202099243","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2009","2020163656","Female","Suspected Minor Injury (B)","Injured Passenger","21"
"202059759","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Single Motor Vehicle","12","2020","2:00 AM - 2:59 AM","-83.4312117766449","41.9263409604633","Monroe","Monroe County: Monroe","202099251","Driver/Cyclist Action - Leaving Roadway","Passenger Car, SUV, Van","Motor Vehicle","2003","2020163667","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","22"
"202059797","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Single Motor Vehicle","19","2020","7:00 AM - 7:59 AM","-84.5398915540584","45.0275476543164","Otsego","Otsego County: Dover Twp.","202099314","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2010","2020163754","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","53"
"202059871","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Other","5","2020","7:00 PM - 7:59 PM","-82.9267338723357","42.4703599031208","Macomb","Macomb County: Eastpointe","202099437","Driver/Cyclist Action - Backing","Passenger Car, SUV, Van","Motor Vehicle","2016","2020163970","Male","No Injury (O)","Motor Vehicle Driver","86"
"202059871","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Other","5","2020","7:00 PM - 7:59 PM","-82.9267338723357","42.4703599031208","Macomb","Macomb County: Eastpointe","202099438","Pedestrian Action - Not in Roadway","Uncoded & Errors","Pedestrian","Invalid Number","2020163973","Female","Suspected Serious Injury (A)","Pedestrian","63"
"202059871","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Other","5","2020","7:00 PM - 7:59 PM","-82.9267338723357","42.4703599031208","Macomb","Macomb County: Eastpointe","202099439","Driver/Cyclist Action - Parked","Passenger Car, SUV, Van","Motor Vehicle","2009","2020163974","Uncoded & Errors","Uncoded & Errors","Motor Vehicle Driver","Invalid Number"
"202059925","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Rear-End","3","2020","12:00 Noon - 12:59 PM","-83.240260351759","42.5786352044795","Oakland","Oakland County: Bloomfield Hills","202099549","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2018","2020164196","Female","No Injury (O)","Motor Vehicle Driver","40"
"202059925","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Rear-End","3","2020","12:00 Noon - 12:59 PM","-83.240260351759","42.5786352044795","Oakland","Oakland County: Bloomfield Hills","202099549","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2018","2020164197","Male","No Injury (O)","Uninjured Passenger","1"
"202059925","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Rear-End","3","2020","12:00 Noon - 12:59 PM","-83.240260351759","42.5786352044795","Oakland","Oakland County: Bloomfield Hills","202099550","Driver/Cyclist Action - Stopped on Roadway","Pickup Truck","Motor Vehicle","2019","2020164199","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","40"
