id,bike,age,sex,condition
201701021701-0347, ,67,M,02
201701021703-0438, ,4,M,02
201701021707-0176, ,14,M,03
201701021707-0176, ,13,M,02
201701021711-0730, ,31,M,02
201701021712-0778,Y,66,M,02
20170105A090-2017-00095A, ,52,M,02
201701082017-00000706, ,44,M,02
201701082017-00049847, ,60,F,02
201701082017-00071890, ,56,M,02
20170110A090-2017-00163A, ,56,M,02
201701112017-00025567, ,37,F,02
201701122017016971,Y,64,M,02
20170115I-2017-03964, ,32,M,02
20170119I-2017-002297,Y,58,M,02
20170119I-2017-015208,Y,62,M,02
20170119I-2017-020360,Y,55,M,02
20170119I-2017-029586,Y,46,M,02
20170121I-2017-013526, ,47,M,02
2017020117-00852, ,63,M,02
2017020317-32731, ,,F,  
2017020317-32731, ,, ,02
2017020317-41060, ,54,F,02
2017021417-04467,Y,62,M,02
20170215I-2017-019099,Y,54,F,02
20170216I-2017-015316, ,42,M,02
201702192017-030975, ,66,M,02
201702192017-15187, ,,M,  
201702192017-15187, ,58,M,02
20170221I-2017-038362, ,18,F,02
20170221I-2017-038362, ,,F,  
20170221I-2017-039695, ,,M,  
20170221I-2017-039695, ,70,M,02
20170221I-2017-047699, ,81,F,02
2017022317-001097, ,79,F,02
2017022317-024744, ,54,M,02
201702312017-011154,Y,115,M,02
201702312017-012253, ,,M,  
201702312017-012253,Y,27,M,02
20170234I-2017-003732, ,23,M,03
20170234I-2017-003732, ,23,F,02
2017024317-MV-31, ,71,F,02
20170245I-2017-003579, ,,M,  
20170245I-2017-003579, ,37,M,02
20170245I-2017-016902, ,52,F,02
20170246BS-17-057510, ,55,M,02
201702492017-006865, ,68,F,02
201702492017-012969, ,53,M,02
201702502017-13200, ,26,F,02
20170251I-2017-009734, ,,F,  
20170251I-2017-009734, ,10,F,02
2017025617-12228, ,41,M,02
2017025717-07556, ,114,M,02
20170259I-2017-00579, ,44,M,02
2017026717-01218, ,77,M,02
2017026717-20434, ,26,F,02
20170334C080-2017-00858A, ,50,M,02
201703382017-00007504, ,50,M,02
201704062017006838, ,18,F,02
201704062017007994, ,53,M,02
201704081701232401, ,48,M,02
201704081704241843,Y,52,M,02
2017040917-077364, ,12,M,02
2017041617-274-A,Y,23,M,02
201704232017-000778,Y,12,M,02
2017042717-12337, ,,M,  
2017042717-12337, ,, ,02
20170427170085155, ,,M,  
20170427170085155, ,37,M,02
2017043112771-17, ,34,F,02
2017043717-00300, ,43,F,02
2017050117-05969,Y,67,F,02
20170506I-2017-38170, ,70,F,02
20170506I-2017-49405, ,36,M,02
20170511A050-2017-00002A, ,14,F,02
2017051417-50742,Y,56,M,02
20170605A040-2017-00344A, ,25,M,02
201706142017072895, ,52,M,02
20170701I-2017-006579, ,83,F,02
20170702E040-2017-02060A, ,32,M,02
2017070517-2592, ,51,M,02
20170705B060-2017-01257A, ,28,M,02
20170709I-2017-082214, ,75,F,02
20170709I-2017-084239, ,48,M,02
20170709I-2017-091172, ,51,F,02
20170710I2017-021651, ,42,F,02
20170712I-2017-019958, ,27,F,02
20170712I-2017-022771, ,,M,  
20170712I-2017-022771, ,47,M,02
2017071317-RED-172, ,29,F,02
2017071317-RED-172, ,55,M,02
2017071317-RED-241, ,54,M,02
2017071317-RED-407, ,60,M,02
2017071317RED087, ,45,F,02
2017071417-58146, ,51,M,02
20170714C-2017-005516, ,48,M,02
20170714C17066033, ,48,M,02
20170714P1700018317-25, ,26,M,02
20170714P17084478, ,5,F,02
20170714P17084478, ,5,F,03
20170714P17084478, ,5,F,04
20170714P17107455, ,59M,M,02
20170714P1717579117-26077, ,37,M,02
20170714P1723028817-34428, ,33,M,02
20170714P1725316817-37756, ,64,M,02
20170714P1725612917-38264, ,,M,  
20170714P172717017-40509,Y,60, ,02
20170714P1733724517-50843, ,26,M,04
20170714P1733724517-50843, ,20,F,04
20170714P1733724517-50843, ,5M,M,02
20170714P1738184317-58146, ,51,M,02
2017071617-44313, ,43, ,02
20170717I-2017-044187,Y,20,M,03
20170721I-2017-018964, ,34,F,02
2017072217000587, ,41,M,02
2017080617-009996, ,28,M,02
201708062017-05117, ,57,M,02
201708062017029394, ,54,M,02
201708202017008958,Y,47,M,02
20170903I-2017-015468, ,78,M,02
2017090417-011205, ,55,M,02
2017090614724-17, ,23,M,02
2017090617-027770, ,45,F,02
2017090617-028865, ,18,M,02
2017090617-27880, ,,M,02
201709063154-17, ,39,M,02
2017090717-28928, ,71,F,02
2017090917-015230, ,44,M,02
2017091017055409, ,23,F,02
20170910SO-17-032403, ,50,M,02
20170910SO-17-032403, ,45,M,02
20170910SO-17-032403, ,41,M,02
20170910SO-17-032403, ,33,M,04
20170912I-2017-020915, ,73,F,02
20171002B110-2017-00652A, ,69,F,02
2017101717002242, ,47,M,02
2017101717005452, ,66,F,02
2017110117-9859,Y,114,M,02
20171102I-2017-021088, ,,F,  
20171102I-2017-021088, ,50,F,02
2017110317-35391, ,56, ,02
20171106HT2017-001284,Y,64,M,02
2017110717-17927-AC, ,,M,  
2017110717-17927-AC, ,34,M,02
201711132017-13037,Y,112,M,02
2017111417-00473, ,74,F,02
2017111417-36750, ,58,M,02
20171202I-2017-004083, ,,F,  
20171202I-2017-004083, ,13,F,02
20171202I-2017-012941, ,26,F,02
2017120317076579, ,25,M,02
2017120417-70214, ,15,M,02
2017120417-70214,Y,,M,  
2017120917036769, ,72,F,02
2017121317040493, ,18,M,02
2017121617069817, ,62,M,02
2017121717-05890, ,66,M,02
2017121717-40577,Y,15,F,02
2017121717-40577,Y,15,F,02
2017121717-44503, ,49,M,02
2017121817-03945, ,25,M,02
20171221I-2017-055969, ,67,M,02
20171221I-2017-065051, ,38,F,02
20171221I-2017-070932, ,31,M,02
20171311I-2017-018573, ,47,M,02
2017131617FT07556, ,18,M,02
2017131917-11280-AC, ,33,M,02
201713212017003607,Y,47,M,02
2017132517LB29031, ,81,M,02
2017132817-032787, ,76,M,02
20171330I-2017-013059, ,36,M,02
2017133117MT10409,Y,29,M,02
2017133417NT28809,Y,15,M,02
2017133617TF17214, ,65,M,02
2017133817OP01234, ,75,M,02
2017133917-182-AC, ,16,M,02
20171339E050-2017-00957A, ,51,F,02
2017134017-19682, ,42,F,02
201713522017-03223, ,56,F,02
201714042017-006977, ,60,F,02
2017150517001552, ,69,F,02
2017150517001600,Y,51,F,02
201715062017-00067190, ,29,M,02
2017150717-06654,Y,32,M,02
2017150717-11735, ,39,F,02
2017150717-44499, ,72,M,02
2017150717-44499, ,69,F,02
2017150717-47795,Y,82,M,02
2017150717-67689, ,22,M,02
2017151417-058325, ,35,M,02
2017152517-102, ,, ,  
2017152517-102, ,, ,  
201716022017029940, ,13,F,02
2017160717-52997, ,65, ,02
2017160817-053056, ,12,M,02
2017160817-077810, ,23,M,04
2017160817-100130, ,31,M,02
2017160817-112200, ,54,M,02
2017160817-114296, ,54,M,02
2017160817-54127,Y,13,M,02
201716082017-007027, ,42,F,02
20171608B060-2017-03910A, ,63,F,02
201716092017000908, ,62,F,02
201716142017049765, ,59,F,02
201716142017051091, ,25,M,02
2017180817056131,Y,32,F,02
2017180817057633, ,74,F,02
2017181117123636, ,74,M,02
2017181617009160, ,67,F,02
20171820I-2017-016653,Y,64,M,02
2017200317-34000, ,,M,  
2017200417-056133, ,, ,02
2017200417-063724,Y,72,M,02
2017200417-075554,Y,76,M,02
2017200417-092246, ,87,F,02
20172007E040-2017-04252A, ,,M,  
20172007E040-2017-04252A, ,52,M,02
2017200917017141, ,45,M,02
2017200917017299, ,15,M,02
2017200917025183, ,,M,  
2017200917025183, ,37,M,02
2017200917053022, ,36,M,02
2017200917054526, ,18,M,02
2017201217002924, ,59,M,02
2017201217006193,Y,46,F,02
2017201317-01279, ,43,M,02
2017201517-28558, ,58,F,02
20172019UP-041141-17,Y,26,M,02
20172019UP-04870-17UP-0662?, ,49,M,04
20172113B020-2017-00242A, ,71,M,02
201721202017-007387,Y,74,M,02
