Occupants/people/parties for the Year 2023 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"202329715","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Single Motor Vehicle","14","2023","5:00 PM - 5:59 PM","-85.5779818697025","43.656704437462","Newaygo","Newaygo County: Norwich Twp.","202348207","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2013","202377716","Female","Suspected Serious Injury (A)","Injured Passenger","45"
"202329715","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Single Motor Vehicle","14","2023","5:00 PM - 5:59 PM","-85.5779818697025","43.656704437462","Newaygo","Newaygo County: Norwich Twp.","202348207","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2013","202377717","Female","Suspected Serious Injury (A)","Injured Passenger","7"
"202329840","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Head-On","26","2023","10:00 PM - 10:59 PM","-83.3101162213677","42.751776585118","Oakland","Oakland County: Orion Twp.","202348433","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2003","202378187","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","56"
"202329840","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Head-On","26","2023","10:00 PM - 10:59 PM","-83.3101162213677","42.751776585118","Oakland","Oakland County: Orion Twp.","202348434","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2022","202378189","Male","Possible Injury (C)","Motor Vehicle Driver","43"
"202330031","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","20","2023","6:00 PM - 6:59 PM","-83.1721698676116","42.3441290880295","Wayne","Wayne County: Dearborn","202348768","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2016","202378867","Male","No Injury (O)","Motor Vehicle Driver","24"
"202330031","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","20","2023","6:00 PM - 6:59 PM","-83.1721698676116","42.3441290880295","Wayne","Wayne County: Dearborn","202348769","Pedestrian Action - Crossing Not at Intersection","Uncoded & Errors","Pedestrian","Invalid Number","202378869","Male","Fatal Injury (K)","Pedestrian","68"
"202330071","Intersection Crash - Within Intersection","January","Angle","30","2023","6:00 PM - 6:59 PM","-83.2601876692378","42.3381778417578","Wayne","Wayne County: Dearborn Heights","202348842","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2015","202379008","Male","No Injury (O)","Motor Vehicle Driver","18"
"202330071","Intersection Crash - Within Intersection","January","Angle","30","2023","6:00 PM - 6:59 PM","-83.2601876692378","42.3381778417578","Wayne","Wayne County: Dearborn Heights","202348842","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2015","202379009","Female","No Injury (O)","Uninjured Passenger","22"
"202330071","Intersection Crash - Within Intersection","January","Angle","30","2023","6:00 PM - 6:59 PM","-83.2601876692378","42.3381778417578","Wayne","Wayne County: Dearborn Heights","202348842","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2015","202379010","Female","No Injury (O)","Uninjured Passenger","46"
"202330071","Intersection Crash - Within Intersection","January","Angle","30","2023","6:00 PM - 6:59 PM","-83.2601876692378","42.3381778417578","Wayne","Wayne County: Dearborn Heights","202348843","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2010","202379013","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","58"
