Occupants/people/parties for the Year 2005 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"200510658","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Angle","21","2005","12:00 Noon - 12:59 PM","-85.37889","44.7705","Grand Traverse","Grand Traverse County: Whitewater Twp.","200518986","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1999","200528339","Female","Possible Injury (C)","Injured Passenger","10"
"200510658","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Angle","21","2005","12:00 Noon - 12:59 PM","-85.37889","44.7705","Grand Traverse","Grand Traverse County: Whitewater Twp.","200518986","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1999","200528340","Male","Possible Injury (C)","Injured Passenger","7"
"200510765","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","January","Single Motor Vehicle","9","2005","8:00 AM - 8:59 AM","-84.52158","44.63155","Crawford","Crawford County: Grayling Twp.","200519155","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1990","200528637","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","25"
"200510929","Intersection Crash - Within Intersection","January","Angle","10","2005","8:00 AM - 8:59 AM","-83.75604","42.53384","Livingston","Livingston County: Brighton Twp.","200519388","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","200528938","Male","No Injury (O)","Motor Vehicle Driver","57"
"200510929","Intersection Crash - Within Intersection","January","Angle","10","2005","8:00 AM - 8:59 AM","-83.75604","42.53384","Livingston","Livingston County: Brighton Twp.","200519389","Driver/Cyclist Action - Changing Lanes","Passenger Car, SUV, Van","Motor Vehicle","1999","200528941","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","49"
"200510929","Intersection Crash - Within Intersection","January","Angle","10","2005","8:00 AM - 8:59 AM","-83.75604","42.53384","Livingston","Livingston County: Brighton Twp.","200519389","Driver/Cyclist Action - Changing Lanes","Passenger Car, SUV, Van","Motor Vehicle","1999","200528942","Male","Suspected Serious Injury (A)","Injured Passenger","13"
"200510929","Intersection Crash - Within Intersection","January","Angle","10","2005","8:00 AM - 8:59 AM","-83.75604","42.53384","Livingston","Livingston County: Brighton Twp.","200519389","Driver/Cyclist Action - Changing Lanes","Passenger Car, SUV, Van","Motor Vehicle","1999","200528943","Male","Suspected Serious Injury (A)","Injured Passenger","11"
"200510940","Intersection Crash - Within Intersection","January","Angle","8","2005","11:00 AM - 11:59 AM","-83.2325","42.66992","Oakland","Oakland County: Auburn Hills/Pontiac Twp.","200519408","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2003","200528976","Male","No Injury (O)","Motor Vehicle Driver","76"
"200510940","Intersection Crash - Within Intersection","January","Angle","8","2005","11:00 AM - 11:59 AM","-83.2325","42.66992","Oakland","Oakland County: Auburn Hills/Pontiac Twp.","200519408","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2003","200528977","Female","Suspected Serious Injury (A)","Injured Passenger","81"
"200510940","Intersection Crash - Within Intersection","January","Angle","8","2005","11:00 AM - 11:59 AM","-83.2325","42.66992","Oakland","Oakland County: Auburn Hills/Pontiac Twp.","200519409","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","1998","200528980","Male","No Injury (O)","Motor Vehicle Driver","44"
"200510983","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","January","Single Motor Vehicle","4","2005","8:00 AM - 8:59 AM","-90.0835","46.50702","Gogebic","Gogebic County: Ironwood Twp.","200519467","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2004","200529056","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","34"
"200511068","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","6","2005","4:00 PM - 4:59 PM","-82.62197","43.4286","Sanilac","Sanilac County: Sanilac Twp.","200519581","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2003","200529213","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","55"
"200511285","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Rear-End","12","2005","11:00 AM - 11:59 AM","-85.03852","41.89823","Branch","Branch County: Ovid Twp.","200519874","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1997","200529631","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","49"
"200511285","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Rear-End","12","2005","11:00 AM - 11:59 AM","-85.03852","41.89823","Branch","Branch County: Ovid Twp.","200519874","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1997","200529632","Male","Suspected Minor Injury (B)","Injured Passenger","49"
"200511285","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Rear-End","12","2005","11:00 AM - 11:59 AM","-85.03852","41.89823","Branch","Branch County: Ovid Twp.","200519875","Driver/Cyclist Action - Going Straight Ahead","Small Truck Under 10,000 lbs. GVWR","Motor Vehicle","1992","200529633","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","35"
"200511376","Freeway Crash - All Other Freeway Areas","January","Single Motor Vehicle","27","2005","4:00 PM - 4:59 PM","-83.14093","42.33227","Wayne","Wayne County: Detroit","200520006","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1995","200529802","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","48"
"200511445","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","16","2005","5:00 AM - 5:59 AM","-84.54279","42.80911","Clinton","Clinton County: DeWitt Twp.","200520105","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1987","200529932","Male","No Injury (O)","Motor Vehicle Driver","36"
"200511445","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","16","2005","5:00 AM - 5:59 AM","-84.54279","42.80911","Clinton","Clinton County: DeWitt Twp.","200520105","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1987","200529933","Male","Suspected Minor Injury (B)","Injured Passenger","35"
"200511445","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","16","2005","5:00 AM - 5:59 AM","-84.54279","42.80911","Clinton","Clinton County: DeWitt Twp.","200520105","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1987","200529934","Male","Suspected Serious Injury (A)","Injured Passenger","29"
"200511513","Freeway Crash - Entrance/Exit Ramp Related","January","Single Motor Vehicle","15","2005","8:00 AM - 8:59 AM","-83.35975","42.52091","Oakland","Oakland County: Farmington Hills","200520200","Driver/Cyclist Action - Turning Right","Passenger Car, SUV, Van","Motor Vehicle","2004","200530067","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","49"
"200511646","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","12","2005","1:00 PM - 1:59 PM","-85.87013","43.33645","Newaygo","Newaygo County: Ashland Twp.","200520398","Driver/Cyclist Action - Going Straight Ahead","Motor Home","Motor Vehicle","1997","200530345","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","34"
"200511743","Freeway Crash - All Other Freeway Areas","January","Single Motor Vehicle","16","2005","1:00 AM - 1:59 AM","-83.06837","42.39697","Wayne","Wayne County: Hamtramck","200520531","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2001","200530510","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","31"
"200511791","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","7","2005","11:00 PM - 11:59 PM","-82.72137","42.85577","St. Clair","St. Clair County: Columbus Twp.","200520594","Driver/Cyclist Action - Going Straight Ahead","Snowmobile","Motor Vehicle","Invalid Number","200530590","Male","Possible Injury (C)","Motor Vehicle Driver","31"
