Occupants/people/parties for the Year 2005 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"2005177437","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","July","Single Motor Vehicle","10","2005","7:00 AM - 7:59 AM","-85.526108","42.654343","Barry","Barry County: Yankee Springs Twp.","2005303924","Driver/Cyclist Action - Starting Up on Roadway","Motorcycle","Motor Vehicle","1998","2005469042","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","21"
"2005177474","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","July","Single Motor Vehicle","10","2005","5:00 PM - 5:59 PM","-82.591938","43.429456","Sanilac","Sanilac County: Sanilac Twp.","2005303976","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1995","2005469126","Female","Possible Injury (C)","Motor Vehicle Driver","16"
"2005177474","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","July","Single Motor Vehicle","10","2005","5:00 PM - 5:59 PM","-82.591938","43.429456","Sanilac","Sanilac County: Sanilac Twp.","2005303976","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1995","2005469127","Male","Suspected Serious Injury (A)","Injured Passenger","16"
"2005177480","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","August","Single Motor Vehicle","3","2005","3:00 PM - 3:59 PM","-82.72981","43.526863","Sanilac","Sanilac County: Marion Twp.","2005303982","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","Invalid Number","2005469136","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","19"
"2005177509","Intersection Crash - Within Intersection","July","Angle","1","2005","8:00 AM - 8:59 AM","-86.346151","43.385574","Muskegon","Muskegon County: Whitehall","2005304024","Driver/Cyclist Action - Going Straight Ahead","Truck/Bus (over 10,000 lbs. GVWR/8+ occupants/hazmat placard) ","Motor Vehicle","Invalid Number","2005469192","Male","No Injury (O)","Motor Vehicle Driver","38"
"2005177509","Intersection Crash - Within Intersection","July","Angle","1","2005","8:00 AM - 8:59 AM","-86.346151","43.385574","Muskegon","Muskegon County: Whitehall","2005304025","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2000","2005469194","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","49"
"2005177593","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","June","Other/Unknown","25","2005","12:00 Midnight - 12:59 AM","-83.476316","42.509954","Oakland","Oakland County: Novi","2005304178","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2005469425","Female","No Injury (O)","Motor Vehicle Driver","32"
"2005177593","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","June","Other/Unknown","25","2005","12:00 Midnight - 12:59 AM","-83.476316","42.509954","Oakland","Oakland County: Novi","2005304178","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2005469426","Male","Suspected Serious Injury (A)","Injured Passenger","19"
"2005177593","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","June","Other/Unknown","25","2005","12:00 Midnight - 12:59 AM","-83.476316","42.509954","Oakland","Oakland County: Novi","2005304178","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2005469427","Uncoded & Errors","Uncoded & Errors","Uninjured Passenger","Invalid Number"
"2005177625","Intersection Crash - Driveway Related (within 150 feet of nearest edge of intersection)","July","Angle","18","2005","4:00 PM - 4:59 PM","-83.290287","44.67808","Alcona","Alcona County: Harrisville Twp.","2005304236","Driver/Cyclist Action - Turning Left","Go-Cart/Golf Cart","Motor Vehicle","Invalid Number","2005469501","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","28"
"2005177625","Intersection Crash - Driveway Related (within 150 feet of nearest edge of intersection)","July","Angle","18","2005","4:00 PM - 4:59 PM","-83.290287","44.67808","Alcona","Alcona County: Harrisville Twp.","2005304237","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","Invalid Number","2005469502","Male","No Injury (O)","Motor Vehicle Driver","55"
"2005177627","Intersection Crash - Driveway Related (within 150 feet of nearest edge of intersection)","July","Head-On","18","2005","4:00 PM - 4:59 PM","-83.290287","44.67808","Alcona","Alcona County: Harrisville Twp.","2005304239","Driver/Cyclist Action - Turning Left","Go-Cart/Golf Cart","Motor Vehicle","Invalid Number","2005469504","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","28"
"2005177627","Intersection Crash - Driveway Related (within 150 feet of nearest edge of intersection)","July","Head-On","18","2005","4:00 PM - 4:59 PM","-83.290287","44.67808","Alcona","Alcona County: Harrisville Twp.","2005304240","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2001","2005469505","Female","No Injury (O)","Motor Vehicle Driver","74"
"2005177679","Intersection Crash - Within Intersection","June","Head-On - Left Turn","7","2005","5:00 PM - 5:59 PM","-83.180946","42.488802","Oakland","Oakland County: Berkley","2005304332","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","2005","2005469631","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","30"
"2005177679","Intersection Crash - Within Intersection","June","Head-On - Left Turn","7","2005","5:00 PM - 5:59 PM","-83.180946","42.488802","Oakland","Oakland County: Berkley","2005304333","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1993","2005469634","Female","No Injury (O)","Motor Vehicle Driver","17"
"2005177679","Intersection Crash - Within Intersection","June","Head-On - Left Turn","7","2005","5:00 PM - 5:59 PM","-83.180946","42.488802","Oakland","Oakland County: Berkley","2005304333","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1993","2005469635","Male","Suspected Serious Injury (A)","Injured Passenger","19"
