id,bike,age,sex,condition
2010010210-002760, ,24,M,02
2010010210-074329,Y,52,M,02
2010010210-087424, ,77,M,02
2010010210-103899, ,,F,  
2010010210-103899, ,75,F,02
2010010210-103899, ,79,M,03
2010010210-109790, ,71,M,02
2010010210-116800,Y,16,F,02
2010010210-127183, ,62,M,02
2010010210-135211, ,79,F,02
20100105A090201000019A, ,16,M,02
2010010810-015536, ,14,F,02
2010010810-22224, ,47,M,02
2010010810-43473,Y,15,M,02
2010010810-43473,Y,17,M,03
201001112010-00024964, ,,F,  
201001112010-00024964, ,48,F,02
2010011210-09303, ,73,M,02
2010011210-45767, ,17,M,02
2010011210-59968, ,35,M,02
20100114I-2010-11528, ,39,F,02
2010011610-08446, ,72,F,02
2010011610-10179, ,65,F,02
201001182010/9264, ,37,F,03
201001182010/9264, ,49,M,02
201001192010-17282, ,49,M,02
2010020110-10779, ,16,F,02
2010020310-13925,Y,8,M,02
201002042010-17435, ,37,F,02
2010020510-008081, ,21,M,02
201002062010-227,Y,23,M,02
201002102010-07338, ,39,M,02
20100212B250-2010-00007A, ,40,M,03
20100212B250201000003A, ,,M,  
20100212B250201000003A, ,18,M,02
20100212B250201000003A, ,,M,  
20100212B250201000003A, ,,F,  
20100212B250201000003A, ,,M,  
20100212B250201000003A, ,,M,  
20100212B250201000003A, ,,F,  
20100212B250201000003A, ,,F,  
20100212B250201000003A, ,,M,  
201002132010-002419, ,81,F,02
20100215R754-10, ,28,F,02
201002172010-12697, ,14,M,02
2010021810-1247-A-AC, ,57,M,02
20100218BC-10-019062, ,36,M,02
20100219I-2010-03319, ,76,M,02
20100219I-2010-039940,Y,44,M,02
2010022010-5126,Y,57,M,02
2010022010-5444, ,68,F,02
2010022310-01274, ,24,M,02
2010022310-32075, ,46,M,02
201002231000662, ,,M,  
201002231000662, ,49,M,02
20100223P, ,,F,  
20100223P, ,9,F,02
20100225I-2010-08941, ,15,M,02
201002271001619, ,15,M,02
2010022910-11994-259, ,22,F,02
201002312010-018940, ,69,F,02
2010023310-26480, ,38,M,02
201002382010-002957, ,30,M,02
20100241113-10, ,10,M,02
2010025010-17523, ,46,M,02
20100251I-2010-011717,Y,14,M,02
2010025210-100, ,67,M,02
2010025710-00107, ,46,F,02
2010026010-009334, ,49,M,02
20100260PD-10-008744, ,12,M,02
20100260PD-10-022366, ,14,M,02
20100260PD-10-029014, ,82,F,02
201002662010-002097/79-10, ,11,F,02
