Occupants/people/parties for the Year 2024 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"2024176737","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","August","Rear-End","28","2024","4:00 PM - 4:59 PM","-82.8525860923915","42.6744378681279","Macomb","Macomb County: Chesterfield Twp.","2024304110","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2024","2024511760","Female","No Injury (O)","Motor Vehicle Driver","40"
"2024176737","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","August","Rear-End","28","2024","4:00 PM - 4:59 PM","-82.8525860923915","42.6744378681279","Macomb","Macomb County: Chesterfield Twp.","2024304110","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2024","2024511761","Male","No Injury (O)","Uninjured Passenger","14"
"2024176747","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","August","Single Motor Vehicle","17","2024","1:00 AM - 1:59 AM","-84.503127163855","43.5845151159617","Midland","Midland County: Greendale Twp.","2024304127","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2012","2024511790","Male","Possible Injury (C)","Motor Vehicle Driver","19"
"2024176747","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","August","Single Motor Vehicle","17","2024","1:00 AM - 1:59 AM","-84.503127163855","43.5845151159617","Midland","Midland County: Greendale Twp.","2024304127","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2012","2024511791","Male","Fatal Injury (K)","Injured Passenger","19"
"2024176768","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","August","Single Motor Vehicle","30","2024","11:00 PM - 11:59 PM","-86.195452054142","43.7730514864574","Oceana","Oceana County: Crystal Twp.","2024304159","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2014","2024511832","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","70"
"2024176849","Intersection Crash - Intersection Related Other","August","Head-On - Left Turn","30","2024","9:00 PM - 9:59 PM","-82.9751742390006","42.4351358452668","Wayne","Wayne County: Detroit","2024304302","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2009","2024512047","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","38"
"2024176849","Intersection Crash - Intersection Related Other","August","Head-On - Left Turn","30","2024","9:00 PM - 9:59 PM","-82.9751742390006","42.4351358452668","Wayne","Wayne County: Detroit","2024304303","Driver/Cyclist Action - Turning Left","Uncoded & Errors","Motor Vehicle","Invalid Number","2024512048","Uncoded & Errors","Uncoded & Errors","Motor Vehicle Driver","Invalid Number"
"2024176861","Intersection Crash - Intersection Related Other","August","Single Motor Vehicle","31","2024","3:00 AM - 3:59 AM","-83.2395622551491","42.1699514681903","Wayne","Wayne County: Brownstown Twp.","2024304325","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2010","2024512079","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","22"
"2024176873","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","August","Single Motor Vehicle","8","2024","7:00 AM - 7:59 AM","-85.00269588197","41.7769117969067","Branch","Branch County: Kinderhook Twp.","2024304345","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2013","2024512117","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","44"
"2024176873","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","August","Single Motor Vehicle","8","2024","7:00 AM - 7:59 AM","-85.00269588197","41.7769117969067","Branch","Branch County: Kinderhook Twp.","2024304345","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2013","2024512118","Female","Suspected Serious Injury (A)","Injured Passenger","14"
"2024176892","Freeway Crash - Entrance/Exit Ramp Related","July","Single Motor Vehicle","23","2024","7:00 PM - 7:59 PM","-83.2372366637092","42.6125478803419","Oakland","Oakland County: Bloomfield Twp.","2024304377","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2017","2024512183","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","16"
"2024177007","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","August","Angle","16","2024","9:00 PM - 9:59 PM","-83.3093976898874","42.2781610486312","Wayne","Wayne County: Inkster","2024304600","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2024","2024512644","Male","Fatal Injury (K)","Motor Vehicle Driver","23"
"2024177007","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","August","Angle","16","2024","9:00 PM - 9:59 PM","-83.3093976898874","42.2781610486312","Wayne","Wayne County: Inkster","2024304601","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2009","2024512646","Male","No Injury (O)","Motor Vehicle Driver","64"
