id,bike,age,sex,condition
2007010207-000200, ,23,F,02
2007010207-013454, ,22,M,02
2007010207-067392, ,27,M,02
2007010207-070956, ,46,M,02
2007010207-100985, ,25,M,02
2007010207-117224, ,43,F,02
2007010207-162994, ,47,M,02
20070103I-2007-14844,Y,42,M,02
20070105A090-2007-00097A, ,49,F,02
200701072007-2695, ,35,F,02
200701072007-5339,Y,26,M,02
200701072007-6751, ,39,M,02
2007010807-044129,Y,25,M,  
2007010807-044129, ,25,M,02
2007010807-056137, ,12,M,02
2007010807-2180, ,45,F,02
2007010807-62891, ,12,F,02
200701112007-32561, ,63,M,02
200701112007-753, ,63,F,  
200701112007-753, ,63,F,02
2007011207-42593, ,2,F,02
2007011320706755, ,51,M,02
20070113I-2007-21487, ,26,M,02
200701192007-14618, ,63,M,  
200701192007-14618, ,63,M,02
200701192007-21091, ,15,M,02
200701192007-30886,Y,,M,  
200701192007-30886, ,16,M,02
20070123A090-2007-00206A, ,31,M,  
20070123A090-2007-00206A, ,31,M,02
2007020307-019160, ,39,F,02
2007020507-004794, ,6,M,02
2007020607-022762, ,60,F,02
200702112007-007075, ,34,F,02
200702112007-043873, ,17,M,02
2007021207-06942, ,28,M,02
20070212B060-2007-00006P, ,21,M,02
20070212D030-2007-01360A, ,32,M,02
20070215R168(A)07,Y,32,M,02
20070215R881-07, ,,F,  
20070215R881-07, ,64,F,02
200702162007-010500,Y,54, ,02
200702162007-012245,Y,18,M,02
2007021807-535-AC, ,52,F,02
20070219I-2007-056026, ,16,F,02
20070221A7-1062, ,15,F,02
20070221A7-719A, ,35,M,02
2007022307-18689,Y,44,M,02
2007022307-22243, ,59,F,02
200702230722805, ,,F,02
20070225I-2007-07744, ,76,M,02
2007022907-5993-015, ,75,F,02
200702312007-018763,Y,7,M,02
2007023307-16502, ,65,F,02
2007023607156,Y,48,M,02
200702382007-000152, ,25,M,02
2007023907-1393, ,66,M,02
2007023907-4884, ,17,F,02
20070242157414, ,46,F,02
20070242157499, ,63,F,02
2007024607-17831, ,23,F,02
2007024607-45791, ,12,F,02
2007024707-095, ,58,F,02
200702492007-012812, ,23,M,02
20070250D030-2007-00056A, ,26,M,02
2007025107-19926, ,34,M,02
2007025607-3527, ,15,M,02
2007025707-6855, ,38,F,02
2007026007-36931, ,,M,02
2007026007009855, ,21,M,02
2007026007022794, ,39,F,02
2007026007038404, ,24,F,02
20070260OIT-07271946, ,51,M,02
20070261TY-07-03648,Y,21,M,02
20070261TY-07-09299,Y,14,M,02
2007026307-126, ,48,M,02
