Occupants/people/parties for the Year 2008 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"2008110082","Freeway Crash - All Other Freeway Areas","May","Angle","10","2008","7:00 PM - 7:59 PM","-83.443062827884","42.323963847242","Wayne","Wayne County: Canton Twp.","2008181019","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2006","2008272546","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","21"
"2008110082","Freeway Crash - All Other Freeway Areas","May","Angle","10","2008","7:00 PM - 7:59 PM","-83.443062827884","42.323963847242","Wayne","Wayne County: Canton Twp.","2008181019","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2006","2008272548","Uncoded & Errors","Uncoded & Errors","Uninjured Passenger","Invalid Number"
"2008110082","Freeway Crash - All Other Freeway Areas","May","Angle","10","2008","7:00 PM - 7:59 PM","-83.443062827884","42.323963847242","Wayne","Wayne County: Canton Twp.","2008181020","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1995","2008272549","Male","No Injury (O)","Motor Vehicle Driver","42"
"2008110082","Freeway Crash - All Other Freeway Areas","May","Angle","10","2008","7:00 PM - 7:59 PM","-83.443062827884","42.323963847242","Wayne","Wayne County: Canton Twp.","2008181021","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2000","2008272552","Male","No Injury (O)","Motor Vehicle Driver","33"
"2008110102","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","18","2008","1:00 AM - 1:59 AM","-83.239695023912","42.19734680741","Wayne","Wayne County: Taylor","2008181057","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1996","2008272618","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","23"
"2008110102","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","18","2008","1:00 AM - 1:59 AM","-83.239695023912","42.19734680741","Wayne","Wayne County: Taylor","2008181057","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1996","2008272619","Female","Suspected Serious Injury (A)","Injured Passenger","21"
"2008110102","Freeway Crash - All Other Freeway Areas","May","Single Motor Vehicle","18","2008","1:00 AM - 1:59 AM","-83.239695023912","42.19734680741","Wayne","Wayne County: Taylor","2008181057","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1996","2008272620","Male","Suspected Serious Injury (A)","Injured Passenger","18"
"2008110125","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","May","Single Motor Vehicle","10","2008","7:00 PM - 7:59 PM","-82.922296232291","43.491530803539","Sanilac","Sanilac County: Moore Twp.","2008181084","Driver/Cyclist Action - Going Straight Ahead","Off-Road Vehicle (ORV)/All-Terrain Vehicle (ATV)","Motor Vehicle","Invalid Number","2008272658","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","27"
"2008110149","Intersection Crash - Within Intersection","April","Rear-End - Left Turn","24","2008","4:00 PM - 4:59 PM","-84.56278083387","42.64035733981","Ingham","Ingham County: Delhi Twp.","2008181121","Driver/Cyclist Action - Stopped on Roadway","Small Truck Under 10,000 lbs. GVWR","Motor Vehicle","Invalid Number","2008272704","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","31"
"2008110149","Intersection Crash - Within Intersection","April","Rear-End - Left Turn","24","2008","4:00 PM - 4:59 PM","-84.56278083387","42.64035733981","Ingham","Ingham County: Delhi Twp.","2008181122","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2006","2008272707","Male","No Injury (O)","Motor Vehicle Driver","40"
