id,bike,age,sex,condition
2014010214-083519, ,20,M,02
2014010214-086659, ,,M,  
2014010214-086659, ,103,M,02
2014010214-099046, ,7,M,02
201401082014-35415,Y,45,M,02
201401122014013148, ,39,F,02
201401122014044558, ,13,F,02
20140113I-2014-06374, ,,M,  
20140113I-2014-06374, ,46,M,02
20140121I-2014-002331, ,66,F,02
20140123A090-2014-00143A, ,52,M,02
2014020314-24296, ,,F,  
2014020314-24296, ,60,F,02
20140206I-2014-005558, ,46,M,02
2014021014-20612, ,65,M,02
20140212ER-14-05960, ,45,M,02
20140215C-2014-002334, ,,F,  
20140215C-2014-002334, ,26,F,02
2014021714-19681, ,,M,  
2014021714-19681, ,18,M,02
2014021814-1080-AC, ,79,M,02
20140219I-2014-054513,Y,45,M,02
20140221I-2014-030166,Y,16,F,02
2014022929-14-003537, ,47,F,02
201402312014-000667, ,36,M,02
20140231BC-14-013969, ,,M,  
20140231BC-14-013969, ,37,M,02
2014023314-00465, ,53,M,02
201402342014-009470, ,33,M,02
201402342014-011024, ,64,M,02
20140235MP-007820-14, ,36,M,02
2014023614-244,Y,53,M,02
20140237M-14-68, ,32,F,02
20140245I-2014-006693, ,,M,  
20140245I-2014-006693, ,17,M,02
20140245I-2014-008554, ,50,F,02
20140249I-2014-002433, ,53,M,02
20140251I-2014-018073, ,,M,  
20140251I-2014-018073, ,72,M,02
2014025614-03367, ,45,M,02
20140261A2014-403, ,81,F,02
20140261TY-14-04424, ,,M,  
20140261TY-14-04424, ,15,M,02
2014026314-126, ,58,M,02
201403102014-2113, ,42,F,02
2014031314-2063, ,46,F,02
201403132014-6028, ,24,M,02
20140316C020-2014-00117A, ,48,F,02
201403242014-07000,Y,82,F,02
201403242014-22937, ,87,M,02
201403242014-22937, ,,M,  
201403292014-2964, ,,M,  
201403292014-2964,Y,81,F,04
201403292014-2964,Y,44,F,04
20140335C080-2014-00310A, ,54,M,02
20140408140912-2848, ,,M,  
2014040914-072165, ,,F,  
2014040914-072165, ,33,F,02
2014041514-039366, ,22,M,02
201404222014-002634,Y,,M,  
