id,bike,age,sex,condition
2016010216-032984, ,29,M,02
2016010216-034421, ,57,M,02
201601082016-00008604, ,48,M,02
201601082016-00026043,Y,46,F,02
201601082016-00034566, ,41,M,02
20160108A160-2016-00831A, ,36,F,02
201601122016013484, ,21,M,02
201601122016049471, ,51,M,02
20160113I-2016-16086,Y,84,M,02
201601182016/10044,Y,61,M,02
20160119I-2016-000692, ,72,F,02
20160119I-2016-020416,Y,24,M,02
20160119I-2016-033931,Y,38,M,02
20160122I-2016-02474, ,74,F,02
20160122I-2016-03636, ,53,M,02
20160122I-2016-14471, ,42,M,02
201602042016-005671, ,67,F,02
20160212ER-16-08850, ,48,M,02
201602132016-006875,Y,63,M,02
20160215D030-2016-00309A, ,25,M,02
20160215I-2016-000765, ,56,F,02
20160215I-2016-004572, ,54,M,02
20160215I-2016-032007, ,79,F,02
20160215I-2016-037400, ,,F,  
20160215I-2016-037400, ,34,F,02
20160219I-2016-005242, ,40,M,02
2016022016-13130,Y,62,M,02
20160221I-2016-036408, ,,M,  
20160221I-2016-036408, ,32,M,02
2016022929-16-009481, ,111,M,02
2016023616-11018, ,41,M,02
2016023616-11994, ,22,M,02
2016024216-01894,Y,,M,  
2016024216-01894,Y,17,M,02
20160245T-16-08, ,20,M,02
201602502016-12070, ,17,F,02
2016025616-23347, ,110,F,02
20160260PD-16-005007, ,72,F,02
2016026816-081, ,83,M,02
201603022016-2042, ,36,M,02
201603062016-13032, ,41,F,03
201603062016-13368, ,,M,  
201603062016-13368, ,18,M,02
201603082016-18802, ,26,M,02
201603082016-21849, ,57,F,02
20160316C020-2016-00287A, ,,M,  
20160316C020-2016-00287A, ,39,M,02
2016032016-8347,Y,51,M,02
201603292016-1285,Y,62,M,02
20160333C080-2016-00652A, ,24,M,02
20160337C020-2016-00732A, ,37,M,02
201603382016-0008551,Y,46,M,02
201604052016007771,Y,46,M,02
201604081601180473, ,30,M,02
20160408160520-1442,Y,14,M,02
201604081608102409, ,33,F,02
201604081610301407, ,55,M,02
2016040916-040406, ,17,M,02
2016040916-051345, ,32,F,02
2016040916-051345, ,32,F,02
2016040916-091068, ,40,F,02
2016040916-091068, ,20,F,02
201604122016-003152, ,15,F,02
201604172016-05604, ,73,F,02
201604222016-002627, ,32,F,02
201604232016-002966,Y,65,M,02
201604232016-007322, ,54,F,02
201604232016-008124, ,,M,  
201604232016-008124, ,17,M,02
20160427160078265, ,37,F,02
20160427160105153, ,52,F,02
201604272016-4639, ,41,F,02
20160506I-2016-16812, ,6,M,02
20160508PD-16-30051,Y,58,F,02
20160509I-2016-13220,Y,75,M,02
20160515I-2016-012417,Y,74,M,02
2016061016-03443,Y,69,M,02
2016061016-11354, ,44,F,02
20160613A040-2016-00963A, ,54,M,02
201606142016007911, ,59,M,02
2016070516-00931, ,44,M,02
2016070516-017377, ,,M,02
2016070516-3899,Y,36,M,02
2016070816-08339, ,77,F,02
2016070816-34412, ,72,F,02
