Occupants/people/parties for the Year 2007 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"2007257265","Uncoded & Errors","June","Single Motor Vehicle","3","2007","4:00 AM - 4:59 AM","-86.078935655088","43.635315233515","Oceana","Oceana County: Newfield Twp.","2007434164","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","1995","2007673028","Male","Possible Injury (C)","Motor Vehicle Driver","20"
"2007257265","Uncoded & Errors","June","Single Motor Vehicle","3","2007","4:00 AM - 4:59 AM","-86.078935655088","43.635315233515","Oceana","Oceana County: Newfield Twp.","2007434164","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","1995","2007673029","Male","Fatal Injury (K)","Injured Passenger","20"
"2007257292","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","October","Single Motor Vehicle","24","2007","7:00 PM - 7:59 PM","-83.453024687678","42.438309660704","Oakland","Oakland County: Novi","2007434213","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1997","2007673110","Male","Fatal Injury (K)","Motor Vehicle Driver","21"
"2007257309","Intersection Crash - Within Intersection","October","Angle","17","2007","6:00 AM - 6:59 AM","-82.526351971616","43.044799153944","St. Clair","St. Clair County: Clyde Twp.","2007434244","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2002","2007673168","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","83"
"2007257309","Intersection Crash - Within Intersection","October","Angle","17","2007","6:00 AM - 6:59 AM","-82.526351971616","43.044799153944","St. Clair","St. Clair County: Clyde Twp.","2007434245","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1979","2007673171","Male","Fatal Injury (K)","Motor Vehicle Driver","54"
"2007257310","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","November","Single Motor Vehicle","9","2007","8:00 AM - 8:59 AM","-83.052144717499","43.495263368013","Sanilac","Sanilac County: Lamotte Twp.","2007434246","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1992","2007673172","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","36"
"2007257331","Freeway Crash - All Other Freeway Areas","August","Single Motor Vehicle","16","2007","9:00 AM - 9:59 AM","-84.356643153846","43.682484158987","Midland","Midland County: Lincoln Twp.","2007434270","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2004","2007673198","Female","Possible Injury (C)","Motor Vehicle Driver","78"
"2007257331","Freeway Crash - All Other Freeway Areas","August","Single Motor Vehicle","16","2007","9:00 AM - 9:59 AM","-84.356643153846","43.682484158987","Midland","Midland County: Lincoln Twp.","2007434270","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2004","2007673199","Male","Fatal Injury (K)","Injured Passenger","79"
"2007257391","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","October","Single Motor Vehicle","5","2007","5:00 PM - 5:59 PM","-83.78244168526","42.444004049691","Livingston","Livingston County: Green Oak Twp.","2007434386","Driver/Cyclist Action - Leaving Roadway","Pickup Truck","Motor Vehicle","2001","2007673357","Male","Fatal Injury (K)","Motor Vehicle Driver","55"
"2007257402","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","November","Head-On","3","2007","2:00 AM - 2:59 AM","-83.182381283085","42.469459610741","Oakland","Oakland County: Oak Park","2007434405","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2007","2007673380","Male","Fatal Injury (K)","Motor Vehicle Driver","36"
