Occupants/people/parties for the Year 2017 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"201718576","Freeway Crash - All Other Freeway Areas","April","Rear-End","23","2017","12:00 Noon - 12:59 PM","-83.7578516494895","42.4975624397502","Livingston","Livingston County: Green Oak Twp.","201733009","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2014","201754630","Male","No Injury (O)","Uninjured Passenger","5"
"201718576","Freeway Crash - All Other Freeway Areas","April","Rear-End","23","2017","12:00 Noon - 12:59 PM","-83.7578516494895","42.4975624397502","Livingston","Livingston County: Green Oak Twp.","201733010","Driver/Cyclist Action - Stopped on Roadway","Pickup Truck","Motor Vehicle","2016","201754632","Male","No Injury (O)","Motor Vehicle Driver","64"
"201718576","Freeway Crash - All Other Freeway Areas","April","Rear-End","23","2017","12:00 Noon - 12:59 PM","-83.7578516494895","42.4975624397502","Livingston","Livingston County: Green Oak Twp.","201733010","Driver/Cyclist Action - Stopped on Roadway","Pickup Truck","Motor Vehicle","2016","201754633","Female","Suspected Minor Injury (B)","Injured Passenger","63"
"201718576","Freeway Crash - All Other Freeway Areas","April","Rear-End","23","2017","12:00 Noon - 12:59 PM","-83.7578516494895","42.4975624397502","Livingston","Livingston County: Green Oak Twp.","201733011","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2006","201754635","Male","No Injury (O)","Motor Vehicle Driver","27"
"201718576","Freeway Crash - All Other Freeway Areas","April","Rear-End","23","2017","12:00 Noon - 12:59 PM","-83.7578516494895","42.4975624397502","Livingston","Livingston County: Green Oak Twp.","201733012","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2012","201754637","Female","No Injury (O)","Motor Vehicle Driver","59"
"201718576","Freeway Crash - All Other Freeway Areas","April","Rear-End","23","2017","12:00 Noon - 12:59 PM","-83.7578516494895","42.4975624397502","Livingston","Livingston County: Green Oak Twp.","201733013","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2006","201754639","Male","No Injury (O)","Motor Vehicle Driver","61"
"201718576","Freeway Crash - All Other Freeway Areas","April","Rear-End","23","2017","12:00 Noon - 12:59 PM","-83.7578516494895","42.4975624397502","Livingston","Livingston County: Green Oak Twp.","201733013","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2006","201754640","Male","No Injury (O)","Uninjured Passenger","34"
"201718596","Intersection Crash - Within Intersection","April","Angle","28","2017","2:00 PM - 2:59 PM","-83.3859663789174","42.2376112350035","Wayne","Wayne County: Romulus","201733047","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1998","201754715","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","25"
"201718596","Intersection Crash - Within Intersection","April","Angle","28","2017","2:00 PM - 2:59 PM","-83.3859663789174","42.2376112350035","Wayne","Wayne County: Romulus","201733048","Driver/Cyclist Action - Going Straight Ahead","Truck/Bus (over 10,000 lbs. GVWR/8+ occupants/hazmat placard) ","Motor Vehicle","2001","201754716","Female","Possible Injury (C)","Motor Vehicle Driver","54"
"201718743","Freeway Crash - All Other Freeway Areas","April","Angle","16","2017","4:00 AM - 4:59 AM","-83.24136983337","42.6708210551254","Oakland","Oakland County: Auburn Hills/Pontiac Twp.","201733326","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2006","201755263","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","23"
"201718743","Freeway Crash - All Other Freeway Areas","April","Angle","16","2017","4:00 AM - 4:59 AM","-83.24136983337","42.6708210551254","Oakland","Oakland County: Auburn Hills/Pontiac Twp.","201733327","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2002","201755265","Male","Suspected Minor Injury (B)","Motor Vehicle Driver","70"
"201718826","Intersection Crash - Within Intersection","April","Single Motor Vehicle","16","2017","12:00 Midnight - 12:59 AM","-83.4757190857487","42.3691277902308","Wayne","Wayne County: Plymouth","201733487","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2007","201755587","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","23"
"201718969","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Single Motor Vehicle","26","2017","6:00 AM - 6:59 AM","-83.246838861314","43.9393432791618","Huron","Huron County: Caseville Twp.","201733732","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2007","201755944","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","62"
"201718999","Intersection Crash - Within Intersection","May","Single Motor Vehicle","2","2017","4:00 PM - 4:59 PM","-84.5465984752036","42.7358667544958","Ingham","Ingham County: Lansing","201733784","Driver/Cyclist Action - Turning Right","Passenger Car, SUV, Van","Motor Vehicle","2012","201756026","Male","No Injury (O)","Motor Vehicle Driver","30"
"201718999","Intersection Crash - Within Intersection","May","Single Motor Vehicle","2","2017","4:00 PM - 4:59 PM","-84.5465984752036","42.7358667544958","Ingham","Ingham County: Lansing","201733785","Driver/Cyclist Action - Going Straight Ahead","Uncoded & Errors","Bicycle","Invalid Number","201756029","Male","Suspected Serious Injury (A)","Bicyclist","41"
"201719011","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","April","Single Motor Vehicle","15","2017","8:00 PM - 8:59 PM","-85.2695222897762","42.9247911348271","Ionia","Ionia County: Boston Twp.","201733806","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2008","201756059","Male","Fatal Injury (K)","Motor Vehicle Driver","56"
"201719016","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Rear-End","25","2017","1:00 PM - 1:59 PM","-85.0750719167539","43.0018829898163","Ionia","Ionia County: Ionia Twp.","201733813","Driver/Cyclist Action - Slowing/Stopping on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2012","201756069","Female","Fatal Injury (K)","Motor Vehicle Driver","72"
"201719016","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Rear-End","25","2017","1:00 PM - 1:59 PM","-85.0750719167539","43.0018829898163","Ionia","Ionia County: Ionia Twp.","201733814","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1999","201756071","Male","No Injury (O)","Motor Vehicle Driver","70"
"201719016","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Rear-End","25","2017","1:00 PM - 1:59 PM","-85.0750719167539","43.0018829898163","Ionia","Ionia County: Ionia Twp.","201733815","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1999","201756072","Male","Suspected Minor Injury (B)","Motor Vehicle Driver","28"
"201719016","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Rear-End","25","2017","1:00 PM - 1:59 PM","-85.0750719167539","43.0018829898163","Ionia","Ionia County: Ionia Twp.","201733815","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1999","201756073","Female","Suspected Minor Injury (B)","Injured Passenger","27"
"201719016","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Rear-End","25","2017","1:00 PM - 1:59 PM","-85.0750719167539","43.0018829898163","Ionia","Ionia County: Ionia Twp.","201733815","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1999","201756074","Male","Possible Injury (C)","Injured Passenger","Invalid Number"
"201719016","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Rear-End","25","2017","1:00 PM - 1:59 PM","-85.0750719167539","43.0018829898163","Ionia","Ionia County: Ionia Twp.","201733815","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1999","201756075","Female","No Injury (O)","Uninjured Passenger","2"
"201719057","Freeway Crash - Entrance/Exit Ramp Related","May","Single Motor Vehicle","3","2017","12:00 Noon - 12:59 PM","-85.6682339986262","43.0206976448386","Kent","Kent County: Walker","201733892","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2004","201756173","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","27"
"201719161","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Single Motor Vehicle","14","2017","5:00 PM - 5:59 PM","-84.6171363948582","43.4295670112216","Gratiot","Gratiot County: Pine River Twp.","201734080","Driver/Cyclist Action - Going Straight Ahead","Off-Road Vehicle (ORV)/All-Terrain Vehicle (ATV)","Motor Vehicle","2001","201756434","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","54"
"201719162","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Single Motor Vehicle","28","2017","3:00 PM - 3:59 PM","-84.6468550300093","43.4332617939583","Gratiot","Gratiot County: Pine River Twp.","201734081","Driver/Cyclist Action - Avoiding Vehicle (angle)","Passenger Car, SUV, Van","Motor Vehicle","1999","201756435","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","67"
"201719233","Freeway Crash - All Other Freeway Areas","May","Rear-End","1","2017","12:00 Midnight - 12:59 AM","-83.1610946165651","42.3263059823299","Wayne","Wayne County: Dearborn","201734193","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2010","201756604","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","31"
"201719233","Freeway Crash - All Other Freeway Areas","May","Rear-End","1","2017","12:00 Midnight - 12:59 AM","-83.1610946165651","42.3263059823299","Wayne","Wayne County: Dearborn","201734194","Driver/Cyclist Action - Going Straight Ahead","Truck/Bus (over 10,000 lbs. GVWR/8+ occupants/hazmat placard) ","Motor Vehicle","2017","201756605","Male","No Injury (O)","Motor Vehicle Driver","25"
"201719310","Intersection Crash - Within Intersection","May","Angle","2","2017","8:00 AM - 8:59 AM","-83.1783781042512","42.3838104896563","Wayne","Wayne County: Detroit","201734345","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2008","201756828","Male","No Injury (O)","Motor Vehicle Driver","34"
"201719310","Intersection Crash - Within Intersection","May","Angle","2","2017","8:00 AM - 8:59 AM","-83.1783781042512","42.3838104896563","Wayne","Wayne County: Detroit","201734346","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1998","201756829","Male","Fatal Injury (K)","Motor Vehicle Driver","32"
"201719317","Intersection Crash - Intersection Related Other","May","Unknown","2","2017","9:00 PM - 9:59 PM","-83.0147668810766","42.3789367642301","Wayne","Wayne County: Detroit","201734358","Driver/Cyclist Action - Going Straight Ahead","Uncoded & Errors","Motor Vehicle","Invalid Number","201756844","Uncoded & Errors","Uncoded & Errors","Motor Vehicle Driver","Invalid Number"
"201719317","Intersection Crash - Intersection Related Other","May","Unknown","2","2017","9:00 PM - 9:59 PM","-83.0147668810766","42.3789367642301","Wayne","Wayne County: Detroit","201734359","Unknown","Uncoded & Errors","Pedestrian","Invalid Number","201756845","Male","Suspected Serious Injury (A)","Pedestrian","63"
"201719462","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","April","Rear-End","14","2017","5:00 PM - 5:59 PM","-83.0653452688628","42.4767262733807","Macomb","Macomb County: Warren","201734614","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","2000","201757347","Male","No Injury (O)","Motor Vehicle Driver","52"
