Occupants/people/parties for the Year 2017 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"2017302689","Intersection Crash - Intersection Related Other","March","Rear-End","4","2017","11:00 AM - 11:59 AM","-85.780295931614","42.8851233198413","Kent","Kent County: Grandville","2017523176","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","1988","2017867264","Male","No Injury (O)","Motor Vehicle Driver","63"
"2017302689","Intersection Crash - Intersection Related Other","March","Rear-End","4","2017","11:00 AM - 11:59 AM","-85.780295931614","42.8851233198413","Kent","Kent County: Grandville","2017523177","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2014","2017867267","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","56"
"2017302696","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Other","8","2017","6:00 PM - 6:59 PM","-85.6955175777472","42.9280148560401","Kent","Kent County: Wyoming","2017523190","Pedestrian Action - Crossing Not at Intersection","Uncoded & Errors","Pedestrian","Invalid Number","2017867285","Male","Suspected Serious Injury (A)","Pedestrian","27"
"2017302696","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Other","8","2017","6:00 PM - 6:59 PM","-85.6955175777472","42.9280148560401","Kent","Kent County: Wyoming","2017523191","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2005","2017867288","Male","No Injury (O)","Motor Vehicle Driver","59"
"2017302724","Intersection Crash - Within Intersection","February","Other","26","2017","9:00 AM - 9:59 AM","-82.5372395535938","42.9871278070199","St. Clair","St. Clair County: Kimball Twp.","2017523236","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2008","2017867339","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","30"
"2017302724","Intersection Crash - Within Intersection","February","Other","26","2017","9:00 AM - 9:59 AM","-82.5372395535938","42.9871278070199","St. Clair","St. Clair County: Kimball Twp.","2017523237","Driver/Cyclist Action - Starting Up on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2014","2017867340","Male","Possible Injury (C)","Motor Vehicle Driver","25"
"2017302724","Intersection Crash - Within Intersection","February","Other","26","2017","9:00 AM - 9:59 AM","-82.5372395535938","42.9871278070199","St. Clair","St. Clair County: Kimball Twp.","2017523238","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2003","2017867341","Male","Possible Injury (C)","Motor Vehicle Driver","82"
"2017302724","Intersection Crash - Within Intersection","February","Other","26","2017","9:00 AM - 9:59 AM","-82.5372395535938","42.9871278070199","St. Clair","St. Clair County: Kimball Twp.","2017523238","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2003","2017867342","Female","Possible Injury (C)","Injured Passenger","81"
"2017302732","Other Non-Freeway Areas - Curved Roadway (not related to other selections)","March","Single Motor Vehicle","1","2017","10:00 PM - 10:59 PM","-84.055987635357","41.8042979325015","Lenawee","Lenawee County: Fairfield Twp.","2017523249","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2005","2017867357","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","52"
"2017302826","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Head-On","5","2017","7:00 PM - 7:59 PM","-84.6562305441225","43.4006881358714","Gratiot","Gratiot County: Pine River Twp.","2017523413","Driver/Cyclist Action - Involved in Prior Crash at Same Location","Passenger Car, SUV, Van","Motor Vehicle","2003","2017867582","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","27"
