Occupants/people/parties for the Year 2017 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"201750871","Intersection Crash - Within Intersection","June","Sideswipe - Same Direction","10","2017","9:00 AM - 9:59 AM","-83.1774168730423","42.3567060298426","Wayne","Wayne County: Detroit","201790698","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2016","2017151043","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","20"
"201750871","Intersection Crash - Within Intersection","June","Sideswipe - Same Direction","10","2017","9:00 AM - 9:59 AM","-83.1774168730423","42.3567060298426","Wayne","Wayne County: Detroit","201790699","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","2008","2017151045","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","40"
"201750892","Intersection Crash - Within Intersection","June","Rear-End","10","2017","9:00 AM - 9:59 AM","-83.0824349866246","42.3459268205764","Wayne","Wayne County: Detroit","201790741","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2001","2017151100","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","62"
"201750892","Intersection Crash - Within Intersection","June","Rear-End","10","2017","9:00 AM - 9:59 AM","-83.0824349866246","42.3459268205764","Wayne","Wayne County: Detroit","201790742","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2010","2017151101","Female","No Injury (O)","Motor Vehicle Driver","53"
"201750892","Intersection Crash - Within Intersection","June","Rear-End","10","2017","9:00 AM - 9:59 AM","-83.0824349866246","42.3459268205764","Wayne","Wayne County: Detroit","201790742","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2010","2017151102","Female","No Injury (O)","Uninjured Passenger","73"
"201750927","Other Non-Freeway Areas - Transition Area (increase or decrease in travel lanes)","June","Angle","10","2017","3:00 AM - 3:59 AM","-83.2634916384974","42.4127980992335","Wayne","Wayne County: Detroit","201790811","Driver/Cyclist Action - Going Straight Ahead","Uncoded & Errors","Motor Vehicle","Invalid Number","2017151190","Uncoded & Errors","Uncoded & Errors","Motor Vehicle Driver","Invalid Number"
"201750927","Other Non-Freeway Areas - Transition Area (increase or decrease in travel lanes)","June","Angle","10","2017","3:00 AM - 3:59 AM","-83.2634916384974","42.4127980992335","Wayne","Wayne County: Detroit","201790812","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2016","2017151191","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","31"
"201750927","Other Non-Freeway Areas - Transition Area (increase or decrease in travel lanes)","June","Angle","10","2017","3:00 AM - 3:59 AM","-83.2634916384974","42.4127980992335","Wayne","Wayne County: Detroit","201790812","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2016","2017151192","Male","Suspected Serious Injury (A)","Injured Passenger","58"
"201750927","Other Non-Freeway Areas - Transition Area (increase or decrease in travel lanes)","June","Angle","10","2017","3:00 AM - 3:59 AM","-83.2634916384974","42.4127980992335","Wayne","Wayne County: Detroit","201790812","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2016","2017151193","Male","Suspected Serious Injury (A)","Injured Passenger","23"
"201750931","Intersection Crash - Within Intersection","June","Head-On - Left Turn","9","2017","11:00 PM - 11:59 PM","-83.2388217602857","42.4295735196166","Wayne","Wayne County: Detroit","201790819","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2015","2017151208","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","45"
