Occupants/people/parties for the Year 2019 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"201961249","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Head-On","16","2019","9:00 PM - 9:59 PM","-83.1042190312339","42.4161983972055","Wayne","Wayne County: Highland Park","2019102214","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2013","2019164251","Male","Suspected Minor Injury (B)","Motor Vehicle Driver","72"
"201961596","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Single Motor Vehicle","7","2019","1:00 AM - 1:59 AM","-82.6992864804058","42.7959791737554","St. Clair","St. Clair County: Casco Twp.","2019102799","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","1999","2019165428","Male","Fatal Injury (K)","Motor Vehicle Driver","29"
"201961886","Intersection Crash - Intersection Related Other","February","Angle","4","2019","9:00 PM - 9:59 PM","-85.6238720567044","42.2952309059382","Kalamazoo","Kalamazoo County: Kalamazoo Twp.","2019103280","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2010","2019166224","Female","Possible Injury (C)","Motor Vehicle Driver","29"
"201961886","Intersection Crash - Intersection Related Other","February","Angle","4","2019","9:00 PM - 9:59 PM","-85.6238720567044","42.2952309059382","Kalamazoo","Kalamazoo County: Kalamazoo Twp.","2019103281","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","2007","2019166225","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","38"
"201961889","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Sideswipe - Same Direction","14","2019","6:00 AM - 6:59 AM","-85.6747994489936","42.9482484883095","Kent","Kent County: Grand Rapids","2019103285","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2019166229","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","42"
"201961889","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Sideswipe - Same Direction","14","2019","6:00 AM - 6:59 AM","-85.6747994489936","42.9482484883095","Kent","Kent County: Grand Rapids","2019103285","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2019166230","Male","Possible Injury (C)","Injured Passenger","15"
"201961889","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Sideswipe - Same Direction","14","2019","6:00 AM - 6:59 AM","-85.6747994489936","42.9482484883095","Kent","Kent County: Grand Rapids","2019103285","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2019166231","Female","No Injury (O)","Uninjured Passenger","15"
"201961889","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Sideswipe - Same Direction","14","2019","6:00 AM - 6:59 AM","-85.6747994489936","42.9482484883095","Kent","Kent County: Grand Rapids","2019103285","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2019166232","Male","No Injury (O)","Uninjured Passenger","12"
"201961889","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Sideswipe - Same Direction","14","2019","6:00 AM - 6:59 AM","-85.6747994489936","42.9482484883095","Kent","Kent County: Grand Rapids","2019103286","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2002","2019166233","Male","No Injury (O)","Motor Vehicle Driver","23"
"201961958","Other","March","Backing","13","2019","7:00 PM - 7:59 PM","-85.639247483228","42.9922524450039","Kent","Kent County: Grand Rapids","2019103409","Driver/Cyclist Action - Backing","Pickup Truck","Motor Vehicle","1995","2019166418","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","46"
"201961958","Other","March","Backing","13","2019","7:00 PM - 7:59 PM","-85.639247483228","42.9922524450039","Kent","Kent County: Grand Rapids","2019103410","Driver/Cyclist Action - Parked","Pickup Truck","Motor Vehicle","2011","2019166420","Uncoded & Errors","Uncoded & Errors","Motor Vehicle Driver","Invalid Number"
"201962168","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Single Motor Vehicle","4","2019","11:00 PM - 11:59 PM","-83.894263833045","43.3763803973617","Saginaw","Saginaw County: Bridgeport Twp.","2019103769","Unknown","Uncoded & Errors","Bicycle","Invalid Number","2019166930","Male","Suspected Serious Injury (A)","Bicyclist","23"
"201962168","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Single Motor Vehicle","4","2019","11:00 PM - 11:59 PM","-83.894263833045","43.3763803973617","Saginaw","Saginaw County: Bridgeport Twp.","2019103770","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","Invalid Number","2019166931","Uncoded & Errors","Uncoded & Errors","Motor Vehicle Driver","Invalid Number"
"201962259","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Angle","12","2019","11:00 AM - 11:59 AM","-83.3565503042955","43.7274945543663","Huron","Huron County: Sebewaing Twp.","2019103936","Driver/Cyclist Action - Turning Right","Truck/Bus (over 10,000 lbs. GVWR/8+ occupants/hazmat placard) ","Motor Vehicle","2000","2019167165","Male","No Injury (O)","Motor Vehicle Driver","24"
"201962259","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Angle","12","2019","11:00 AM - 11:59 AM","-83.3565503042955","43.7274945543663","Huron","Huron County: Sebewaing Twp.","2019103937","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2013","2019167168","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","62"
"201962304","Intersection Crash - Within Intersection","February","Sideswipe - Same Direction","27","2019","10:00 AM - 10:59 AM","-83.0309488332217","42.6258541100681","Macomb","Macomb County: Utica","2019104015","Driver/Cyclist Action - Slowing/Stopping on Roadway","Truck/Bus (over 10,000 lbs. GVWR/8+ occupants/hazmat placard) ","Motor Vehicle","2006","2019167317","Male","No Injury (O)","Motor Vehicle Driver","42"
"201962304","Intersection Crash - Within Intersection","February","Sideswipe - Same Direction","27","2019","10:00 AM - 10:59 AM","-83.0309488332217","42.6258541100681","Macomb","Macomb County: Utica","2019104016","Driver/Cyclist Action - Turning Left","Truck/Bus (over 10,000 lbs. GVWR/8+ occupants/hazmat placard) ","Motor Vehicle","2017","2019167318","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","44"
"201962353","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Rear-End","25","2019","1:00 PM - 1:59 PM","-83.2907133275289","42.6034338213449","Oakland","Oakland County: Bloomfield Twp.","2019104115","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2004","2019167528","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","36"
"201962353","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Rear-End","25","2019","1:00 PM - 1:59 PM","-83.2907133275289","42.6034338213449","Oakland","Oakland County: Bloomfield Twp.","2019104116","Driver/Cyclist Action - Slowing/Stopping on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2018","2019167530","Female","No Injury (O)","Motor Vehicle Driver","61"
"201962396","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Head-On","27","2019","8:00 AM - 8:59 AM","-83.1946854514938","42.5904486346071","Oakland","Oakland County: Troy","2019104201","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2013","2019167693","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","50"
"201962396","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Head-On","27","2019","8:00 AM - 8:59 AM","-83.1946854514938","42.5904486346071","Oakland","Oakland County: Troy","2019104202","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2018","2019167696","Male","Suspected Minor Injury (B)","Motor Vehicle Driver","32"
"201962434","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","14","2019","9:00 PM - 9:59 PM","-83.7388910227989","42.2812513397653","Washtenaw","Washtenaw County: Ann Arbor","2019104264","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2016","2019167816","Male","No Injury (O)","Motor Vehicle Driver","17"
"201962434","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","14","2019","9:00 PM - 9:59 PM","-83.7388910227989","42.2812513397653","Washtenaw","Washtenaw County: Ann Arbor","2019104265","Pedestrian Action - Crossing Not at Intersection","Uncoded & Errors","Pedestrian","Invalid Number","2019167819","Male","Suspected Serious Injury (A)","Pedestrian","21"
"201962544","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Single Motor Vehicle","11","2019","6:00 PM - 6:59 PM","-86.097079314836","42.4839808454455","Allegan","Allegan County: Lee Twp.","2019104468","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","1999","2019168219","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","29"
"201962548","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Single Motor Vehicle","9","2019","1:00 AM - 1:59 AM","-83.4711556024113","45.1188423624677","Alpena","Alpena County: Alpena Twp.","2019104472","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2008","2019168223","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","30"
"201962595","Intersection Crash - Driveway Related (within 150 feet of nearest edge of intersection)","March","Single Motor Vehicle","9","2019","9:00 PM - 9:59 PM","-83.7653434325405","43.0459878862474","Genesee","Genesee County: Mt. Morris Twp.","2019104548","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2010","2019168348","Male","No Injury (O)","Motor Vehicle Driver","46"
