Occupants/people/parties for the Year 2019 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"2019294209","Freeway Crash - Curved Roadway","December","Head-On","10","2019","7:00 AM - 7:59 AM","-86.4154998064917","42.0795432753565","Berrien","Berrien County: Benton Twp.","2019505838","Driver/Cyclist Action - Negotiating a Curve","Passenger Car, SUV, Van","Motor Vehicle","2003","2019844183","Female","Suspected Minor Injury (B)","Injured Passenger","14"
"2019294209","Freeway Crash - Curved Roadway","December","Head-On","10","2019","7:00 AM - 7:59 AM","-86.4154998064917","42.0795432753565","Berrien","Berrien County: Benton Twp.","2019505838","Driver/Cyclist Action - Negotiating a Curve","Passenger Car, SUV, Van","Motor Vehicle","2003","2019844184","Female","Suspected Minor Injury (B)","Injured Passenger","11"
"2019294219","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","August","Rear-End","21","2019","4:00 PM - 4:59 PM","-86.2674231241392","41.8271752541394","Berrien","Berrien County: Niles","2019505852","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2000","2019844207","Male","Possible Injury (C)","Motor Vehicle Driver","27"
"2019294219","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","August","Rear-End","21","2019","4:00 PM - 4:59 PM","-86.2674231241392","41.8271752541394","Berrien","Berrien County: Niles","2019505853","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","2011","2019844209","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","32"
"2019294240","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","December","Single Motor Vehicle","7","2019","11:00 PM - 11:59 PM","-85.8742383329929","42.0125250030924","Cass","Cass County: Marcellus Twp.","2019505882","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2003","2019844250","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","25"
"2019294347","Intersection Crash - Within Intersection","December","Rear-End - Left Turn","5","2019","6:00 PM - 6:59 PM","-84.5777839077064","43.3787711370042","Gratiot","Gratiot County: Emerson Twp.","2019506044","Driver/Cyclist Action - Turning Left","Pickup Truck","Motor Vehicle","1997","2019844468","Female","No Injury (O)","Uninjured Passenger","57"
"2019294347","Intersection Crash - Within Intersection","December","Rear-End - Left Turn","5","2019","6:00 PM - 6:59 PM","-84.5777839077064","43.3787711370042","Gratiot","Gratiot County: Emerson Twp.","2019506044","Driver/Cyclist Action - Turning Left","Pickup Truck","Motor Vehicle","1997","2019844469","Male","No Injury (O)","Motor Vehicle Driver","36"
"2019294347","Intersection Crash - Within Intersection","December","Rear-End - Left Turn","5","2019","6:00 PM - 6:59 PM","-84.5777839077064","43.3787711370042","Gratiot","Gratiot County: Emerson Twp.","2019506045","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2019844470","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","52"
"2019294432","Intersection Crash - Intersection Related Other","December","Single Motor Vehicle","4","2019","12:00 Midnight - 12:59 AM","-84.4625070363866","42.2910328874657","Jackson","Jackson County: Blackman Twp.","2019506176","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2019844655","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","42"
"2019294451","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","December","Single Motor Vehicle","9","2019","9:00 AM - 9:59 AM","-85.490208595341","42.3174197039056","Kalamazoo","Kalamazoo County: Comstock Twp.","2019506205","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","2013","2019844694","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","53"
