Occupants/people/parties for the Year 2022 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"202247775","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Rear-End","15","2022","4:00 PM - 4:59 PM","-83.2724380604029","42.3276103896906","Wayne","Wayne County: Dearborn Heights","202277542","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2017","2022124319","Male","No Injury (O)","Motor Vehicle Driver","52"
"202247915","Intersection Crash - Within Intersection","March","Head-On - Left Turn","2","2022","7:00 PM - 7:59 PM","-86.4943993028511","41.8993010640838","Berrien","Berrien County: Weesaw Twp.","202277786","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2018","2022124774","Female","No Injury (O)","Motor Vehicle Driver","34"
"202247915","Intersection Crash - Within Intersection","March","Head-On - Left Turn","2","2022","7:00 PM - 7:59 PM","-86.4943993028511","41.8993010640838","Berrien","Berrien County: Weesaw Twp.","202277786","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2018","2022124775","Male","Suspected Minor Injury (B)","Injured Passenger","12"
"202247915","Intersection Crash - Within Intersection","March","Head-On - Left Turn","2","2022","7:00 PM - 7:59 PM","-86.4943993028511","41.8993010640838","Berrien","Berrien County: Weesaw Twp.","202277787","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","2015","2022124776","Male","Fatal Injury (K)","Motor Vehicle Driver","68"
"202248036","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Rear-End - Left Turn","14","2022","11:00 PM - 11:59 PM","-84.5668253164586","42.73468007866","Ingham","Ingham County: Lansing","202277968","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","2007","2022125043","Female","No Injury (O)","Motor Vehicle Driver","18"
"202248036","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Rear-End - Left Turn","14","2022","11:00 PM - 11:59 PM","-84.5668253164586","42.73468007866","Ingham","Ingham County: Lansing","202277969","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2007","2022125046","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","24"
"202248036","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","February","Rear-End - Left Turn","14","2022","11:00 PM - 11:59 PM","-84.5668253164586","42.73468007866","Ingham","Ingham County: Lansing","202277969","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2007","2022125047","Male","Possible Injury (C)","Injured Passenger","21"
"202248062","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Single Motor Vehicle","5","2022","12:00 Noon - 12:59 PM","-84.4276692042027","42.7221223290437","Ingham","Ingham County: Meridian Twp.","202278019","Driver/Cyclist Action - Slowing/Stopping on Roadway","Motorcycle","Motor Vehicle","2004","2022125122","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","28"
"202248123","Intersection Crash - Driveway Related (within 150 feet of nearest edge of intersection)","March","Angle","5","2022","5:00 PM - 5:59 PM","-85.585410516915","42.9124982190384","Kent","Kent County: Kentwood","202278122","Driver/Cyclist Action - Entering Roadway","Passenger Car, SUV, Van","Motor Vehicle","2011","2022125269","Male","No Injury (O)","Motor Vehicle Driver","32"
"202248123","Intersection Crash - Driveway Related (within 150 feet of nearest edge of intersection)","March","Angle","5","2022","5:00 PM - 5:59 PM","-85.585410516915","42.9124982190384","Kent","Kent County: Kentwood","202278122","Driver/Cyclist Action - Entering Roadway","Passenger Car, SUV, Van","Motor Vehicle","2011","2022125270","Female","Suspected Serious Injury (A)","Injured Passenger","28"
"202248123","Intersection Crash - Driveway Related (within 150 feet of nearest edge of intersection)","March","Angle","5","2022","5:00 PM - 5:59 PM","-85.585410516915","42.9124982190384","Kent","Kent County: Kentwood","202278123","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2006","2022125271","Female","Possible Injury (C)","Motor Vehicle Driver","34"
"202248169","Intersection Crash - Intersection Related Other","March","Rear-End","6","2022","3:00 PM - 3:59 PM","-82.9542366012991","42.6275549100658","Macomb","Macomb County: Macomb Twp.","202278200","Driver/Cyclist Action - Slowing/Stopping on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2017","2022125372","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","26"
"202248169","Intersection Crash - Intersection Related Other","March","Rear-End","6","2022","3:00 PM - 3:59 PM","-82.9542366012991","42.6275549100658","Macomb","Macomb County: Macomb Twp.","202278201","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2015","2022125374","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","63"
"202248169","Intersection Crash - Intersection Related Other","March","Rear-End","6","2022","3:00 PM - 3:59 PM","-82.9542366012991","42.6275549100658","Macomb","Macomb County: Macomb Twp.","202278202","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2008","2022125375","Male","No Injury (O)","Motor Vehicle Driver","24"
"202248169","Intersection Crash - Intersection Related Other","March","Rear-End","6","2022","3:00 PM - 3:59 PM","-82.9542366012991","42.6275549100658","Macomb","Macomb County: Macomb Twp.","202278203","Driver/Cyclist Action - Stopped on Roadway","Passenger Car, SUV, Van","Motor Vehicle","2011","2022125376","Female","No Injury (O)","Motor Vehicle Driver","20"
"202248383","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Head-On - Left Turn","6","2022","2:00 PM - 2:59 PM","-83.0998881430946","42.4097032786045","Wayne","Wayne County: Highland Park","202278551","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2022125845","Male","No Injury (O)","Motor Vehicle Driver","36"
"202248383","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Head-On - Left Turn","6","2022","2:00 PM - 2:59 PM","-83.0998881430946","42.4097032786045","Wayne","Wayne County: Highland Park","202278551","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2022125846","Female","Suspected Serious Injury (A)","Injured Passenger","59"
"202248383","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Head-On - Left Turn","6","2022","2:00 PM - 2:59 PM","-83.0998881430946","42.4097032786045","Wayne","Wayne County: Highland Park","202278552","Driver/Cyclist Action - Turning Left","Passenger Car, SUV, Van","Motor Vehicle","2014","2022125847","Female","Suspected Minor Injury (B)","Motor Vehicle Driver","67"
"202248411","Intersection Crash - Within Intersection","March","Head-On","4","2022","3:00 PM - 3:59 PM","-83.2049233267218","42.2229904920975","Wayne","Wayne County: Southgate","202278597","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2014","2022125924","Male","Possible Injury (C)","Motor Vehicle Driver","19"
"202248411","Intersection Crash - Within Intersection","March","Head-On","4","2022","3:00 PM - 3:59 PM","-83.2049233267218","42.2229904920975","Wayne","Wayne County: Southgate","202278598","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2011","2022125926","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","60"
"202248541","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","January","Single Motor Vehicle","7","2022","11:00 PM - 11:59 PM","-83.1054279281437","42.4469340715687","Wayne","Wayne County: Detroit","202278815","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2008","2022126377","Male","Fatal Injury (K)","Motor Vehicle Driver","61"
"202248693","Intersection Crash - Within Intersection","March","Angle","3","2022","5:00 PM - 5:59 PM","-83.9762525924818","43.767605882212","Bay","Bay County: Fraser Twp.","202279077","Driver/Cyclist Action - Turning Left","Pickup Truck","Motor Vehicle","2011","2022126883","Male","Possible Injury (C)","Motor Vehicle Driver","36"
"202248693","Intersection Crash - Within Intersection","March","Angle","3","2022","5:00 PM - 5:59 PM","-83.9762525924818","43.767605882212","Bay","Bay County: Fraser Twp.","202279078","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2007","2022126884","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","77"
"202248693","Intersection Crash - Within Intersection","March","Angle","3","2022","5:00 PM - 5:59 PM","-83.9762525924818","43.767605882212","Bay","Bay County: Fraser Twp.","202279078","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2007","2022126885","Female","Suspected Serious Injury (A)","Injured Passenger","57"
"202248738","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","March","Single Motor Vehicle","7","2022","9:00 AM - 9:59 AM","-84.2459715701168","43.0569651328839","Shiawassee","Shiawassee County: Rush Twp.","202279148","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2012","2022126986","Female","Suspected Serious Injury (A)","Motor Vehicle Driver","64"
